2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
600221.SS,600300.SS,600320.SS,600348.SS,600373.SS,600415.SS,600482.SS,600489.SS,600518.SS,600482.SS,600637.SS,600845.SS,600837.SS,600760.SS,600674.SS,600690.SS
600236.SS,600307.SS,600331.SS,600352.SS,600383.SS,600485.SS,600485.SS,600498.SS,600519.SS,600489.SS,600655.SS,600848.SS,600845.SS,600795.SS,600690.SS,600741.SS
600239.SS,600309.SS,600348.SS,600362.SS,600395.SS,600489.SS,600489.SS,600518.SS,600522.SS,600498.SS,600660.SS,600872.SS,600884.SS,600803.SS,600741.SS,600760.SS
600246.SS,600316.SS,600352.SS,600369.SS,600398.SS,600518.SS,600498.SS,600519.SS,600535.SS,600516.SS,600690.SS,600886.SS,600886.SS,600809.SS,600745.SS,600795.SS
600251.SS,600320.SS,600362.SS,600372.SS,600406.SS,600519.SS,600518.SS,600522.SS,600547.SS,600519.SS,600703.SS,600887.SS,600887.SS,600837.SS,600760.SS,600809.SS
600256.SS,600331.SS,600369.SS,600376.SS,600415.SS,600535.SS,600519.SS,600535.SS,600566.SS,600522.SS,600705.SS,600893.SS,600893.SS,600845.SS,600795.SS,600845.SS
600266.SS,600348.SS,600372.SS,600383.SS,600436.SS,600547.SS,600535.SS,600547.SS,600570.SS,600535.SS,600741.SS,600900.SS,600900.SS,600875.SS,600803.SS,600875.SS
600269.SS,600352.SS,600376.SS,600395.SS,600485.SS,600549.SS,600547.SS,600570.SS,600583.SS,600547.SS,600760.SS,600905.SS,600905.SS,600886.SS,600809.SS,600886.SS
600271.SS,600362.SS,600383.SS,600403.SS,600489.SS,600570.SS,600570.SS,600583.SS,600585.SS,600566.SS,600763.SS,600918.SS,600918.SS,600887.SS,600837.SS,600887.SS
600282.SS,600369.SS,600395.SS,600406.SS,600497.SS,600578.SS,600582.SS,600585.SS,600588.SS,600570.SS,600795.SS,600919.SS,600919.SS,600893.SS,600845.SS,600893.SS
600300.SS,600376.SS,600406.SS,600415.SS,600498.SS,600583.SS,600583.SS,600588.SS,600606.SS,600583.SS,600809.SS,600926.SS,600926.SS,600900.SS,600875.SS,600900.SS
600307.SS,600380.SS,600415.SS,600436.SS,600516.SS,600585.SS,600585.SS,600606.SS,600637.SS,600585.SS,600837.SS,600958.SS,600941.SS,600905.SS,600886.SS,600905.SS
600309.SS,600383.SS,600418.SS,600489.SS,600518.SS,600588.SS,600588.SS,600637.SS,600660.SS,600588.SS,600845.SS,600989.SS,600958.SS,600918.SS,600887.SS,600918.SS
600316.SS,600395.SS,600432.SS,600497.SS,600519.SS,600600.SS,600606.SS,600649.SS,600674.SS,600606.SS,600848.SS,600999.SS,600989.SS,600919.SS,600893.SS,600919.SS
600320.SS,600406.SS,600456.SS,600498.SS,600535.SS,600633.SS,600637.SS,600660.SS,600688.SS,600637.SS,600872.SS,601006.SS,600999.SS,600926.SS,600900.SS,600926.SS
600325.SS,600415.SS,600489.SS,600516.SS,600547.SS,600637.SS,600648.SS,600663.SS,600690.SS,600655.SS,600886.SS,601009.SS,601006.SS,600938.SS,600905.SS,600938.SS
600331.SS,600418.SS,600497.SS,600518.SS,600549.SS,600642.SS,600649.SS,600674.SS,600703.SS,600660.SS,600887.SS,601012.SS,601009.SS,600941.SS,600918.SS,600941.SS
600348.SS,600428.SS,600498.SS,600519.SS,600570.SS,600648.SS,600654.SS,600682.SS,600704.SS,600663.SS,600893.SS,601021.SS,601012.SS,600958.SS,600919.SS,600958.SS
600350.SS,600432.SS,600500.SS,600528.SS,600578.SS,600649.SS,600660.SS,600685.SS,600705.SS,600674.SS,600900.SS,601066.SS,601021.SS,600989.SS,600926.SS,600989.SS
600352.SS,600456.SS,600508.SS,600535.SS,600583.SS,600660.SS,600663.SS,600688.SS,600739.SS,600690.SS,600918.SS,601088.SS,601066.SS,600999.SS,600938.SS,600999.SS
600362.SS,600481.SS,600516.SS,600546.SS,600585.SS,600663.SS,600666.SS,600690.SS,600741.SS,600703.SS,600926.SS,601100.SS,601088.SS,601006.SS,600941.SS,601006.SS
600369.SS,600489.SS,600518.SS,600547.SS,600588.SS,600674.SS,600674.SS,600703.SS,600760.SS,600705.SS,600958.SS,601108.SS,601100.SS,601009.SS,600958.SS,601009.SS
600376.SS,600497.SS,600519.SS,600549.SS,600597.SS,600688.SS,600685.SS,600704.SS,600795.SS,600733.SS,600989.SS,601111.SS,601111.SS,601012.SS,600989.SS,601012.SS
600380.SS,600500.SS,600528.SS,600582.SS,600600.SS,600690.SS,600688.SS,600705.SS,600809.SS,600741.SS,600998.SS,601138.SS,601117.SS,601021.SS,600999.SS,601018.SS
600383.SS,600508.SS,600535.SS,600583.SS,600633.SS,600703.SS,600690.SS,600739.SS,600816.SS,600760.SS,601006.SS,601155.SS,601138.SS,601059.SS,601006.SS,601021.SS
600395.SS,600516.SS,600546.SS,600585.SS,600637.SS,600705.SS,600703.SS,600741.SS,600837.SS,600795.SS,601009.SS,601162.SS,601155.SS,601066.SS,601009.SS,601058.SS
600415.SS,600517.SS,600547.SS,600588.SS,600642.SS,600717.SS,600704.SS,600795.SS,600867.SS,600809.SS,601012.SS,601166.SS,601166.SS,601088.SS,601012.SS,601066.SS
600418.SS,600518.SS,600549.SS,600597.SS,600648.SS,600718.SS,600705.SS,600804.SS,600886.SS,600816.SS,601021.SS,601169.SS,601169.SS,601100.SS,601021.SS,601077.SS
600426.SS,600519.SS,600550.SS,600598.SS,600649.SS,600739.SS,600718.SS,600816.SS,600887.SS,600837.SS,601066.SS,601186.SS,601186.SS,601111.SS,601059.SS,601100.SS
600428.SS,600528.SS,600583.SS,600600.SS,600655.SS,600741.SS,600737.SS,600820.SS,600893.SS,600848.SS,601077.SS,601211.SS,601211.SS,601117.SS,601066.SS,601111.SS
600432.SS,600535.SS,600585.SS,600637.SS,600660.SS,600783.SS,600739.SS,600827.SS,600900.SS,600867.SS,601088.SS,601216.SS,601216.SS,601138.SS,601088.SS,601117.SS
600456.SS,600546.SS,600588.SS,600642.SS,600663.SS,600795.SS,600741.SS,600837.SS,600909.SS,600886.SS,601100.SS,601225.SS,601225.SS,601155.SS,601100.SS,601127.SS
600489.SS,600547.SS,600595.SS,600648.SS,600664.SS,600804.SS,600754.SS,600871.SS,600919.SS,600887.SS,601108.SS,601229.SS,601229.SS,601166.SS,601111.SS,601136.SS
600497.SS,600549.SS,600598.SS,600649.SS,600674.SS,600820.SS,600783.SS,600886.SS,600926.SS,600900.SS,601111.SS,601231.SS,601236.SS,601169.SS,601117.SS,601138.SS
600500.SS,600550.SS,600600.SS,600655.SS,600688.SS,600827.SS,600795.SS,600887.SS,600958.SS,600919.SS,601117.SS,601236.SS,601238.SS,601186.SS,601127.SS,601166.SS
600508.SS,600582.SS,600642.SS,600660.SS,600690.SS,600837.SS,600804.SS,600893.SS,600977.SS,600926.SS,601138.SS,601238.SS,601728.SS,601211.SS,601136.SS,601169.SS
600516.SS,600583.SS,600649.SS,600663.SS,600703.SS,600839.SS,600816.SS,600895.SS,600998.SS,600928.SS,601155.SS,601766.SS,601766.SS,601225.SS,601138.SS,601186.SS
600517.SS,600585.SS,600655.SS,600664.SS,600705.SS,600863.SS,600820.SS,600900.SS,600999.SS,600958.SS,601166.SS,601788.SS,601788.SS,601229.SS,601166.SS,601211.SS
600518.SS,600588.SS,600660.SS,600674.SS,600718.SS,600867.SS,600827.SS,600909.SS,601006.SS,600968.SS,601169.SS,601799.SS,601799.SS,601236.SS,601169.SS,601225.SS
600519.SS,600595.SS,600664.SS,600688.SS,600739.SS,600873.SS,600837.SS,600919.SS,601009.SS,600977.SS,601186.SS,601800.SS,601800.SS,601238.SS,601186.SS,601229.SS
600528.SS,600598.SS,600674.SS,600690.SS,600741.SS,600875.SS,600839.SS,600926.SS,601012.SS,600989.SS,601198.SS,601808.SS,601808.SS,601728.SS,601211.SS,601236.SS
600547.SS,600600.SS,600690.SS,600694.SS,600783.SS,600886.SS,600867.SS,600958.SS,601018.SS,600998.SS,601211.SS,601816.SS,601816.SS,601766.SS,601225.SS,601238.SS
600549.SS,600635.SS,600694.SS,600703.SS,600795.SS,600887.SS,600871.SS,600959.SS,601021.SS,600999.SS,601216.SS,601818.SS,601818.SS,601788.SS,601229.SS,601728.SS
600550.SS,600642.SS,600703.SS,600705.SS,600804.SS,600893.SS,600873.SS,600977.SS,601066.SS,601006.SS,601225.SS,601838.SS,601838.SS,601799.SS,601236.SS,601766.SS
600569.SS,600649.SS,600718.SS,600718.SS,600809.SS,600895.SS,600875.SS,600999.SS,601088.SS,601009.SS,601229.SS,601857.SS,601857.SS,601800.SS,601238.SS,601788.SS
600583.SS,600655.SS,600739.SS,600739.SS,600827.SS,600900.SS,600886.SS,601006.SS,601108.SS,601018.SS,601231.SS,601865.SS,601865.SS,601808.SS,601728.SS,601800.SS
600585.SS,600660.SS,600741.SS,600741.SS,600832.SS,600958.SS,600887.SS,601009.SS,601111.SS,601021.SS,601236.SS,601877.SS,601868.SS,601816.SS,601766.SS,601808.SS
600588.SS,600664.SS,600770.SS,600783.SS,600837.SS,600959.SS,600893.SS,601012.SS,601117.SS,601066.SS,601238.SS,601878.SS,601877.SS,601818.SS,601788.SS,601816.SS
600595.SS,600674.SS,600779.SS,600795.SS,600839.SS,600998.SS,600895.SS,601018.SS,601138.SS,601088.SS,601727.SS,601881.SS,601878.SS,601838.SS,601799.SS,601818.SS
600596.SS,600675.SS,600783.SS,600804.SS,600863.SS,600999.SS,600900.SS,601021.SS,601155.SS,601108.SS,601766.SS,601888.SS,601881.SS,601857.SS,601800.SS,601825.SS
600597.SS,600690.SS,600795.SS,600809.SS,600867.SS,601006.SS,600958.SS,601088.SS,601166.SS,601111.SS,601788.SS,601898.SS,601888.SS,601865.SS,601808.SS,601838.SS
600598.SS,600694.SS,600804.SS,600811.SS,600873.SS,601009.SS,600959.SS,601099.SS,601169.SS,601117.SS,601800.SS,601899.SS,601898.SS,601868.SS,601816.SS,601857.SS
600600.SS,600703.SS,600809.SS,600827.SS,600875.SS,601016.SS,600999.SS,601111.SS,601186.SS,601138.SS,601808.SS,601901.SS,601899.SS,601872.SS,601818.SS,601868.SS
600601.SS,600717.SS,600811.SS,600832.SS,600880.SS,601018.SS,601006.SS,601117.SS,601198.SS,601155.SS,601816.SS,601916.SS,601901.SS,601877.SS,601838.SS,601872.SS
