Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CNA.L,CNE.L,CPG.L,CPI.L,DGE.L,EMG.L,EXPN.L,FRES.L,GSK.L,HMSO.L,HSBA.L,IAG.L,IHG.L,III.L,IMI.L,INVP.L,ITRK.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,NG.L,NXT.L,PRU.L,PSON.L,RKT.L,REL.L,RIO.L,RR.L,SBRY.L,SDR.L,SGE.L,SMIN.L,SN.L,SRP.L,SSE.L,STAN.L,SVT.L,TLW.L,TSCO.L,ULVR.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2010-04-29,2793.781494140625,1007.7605590820312,1309.0020751953125,1019.4664916992188,349.1214904785156,2880.069580078125,351.8582458496094,332.3043212890625,2065.89501953125,465.7983703613281,766.0083618164062,579.1047973632812,674.6265869140625,125.55249786376952,295.5339050292969,1922.30908203125,4.020547866821289,7482.52685546875,1126.8958740234375,243.7338714599609,608.6489868164062,814.9337768554688,1217.1741943359375,1752.306884765625,672.3446655273438,229.21185302734372,12.76625633239746,268.1327514648437,811.8920288085938,373.5071716308594,1481.1258544921875,1938.521484375,244.7396697998047,694.6348266601562,85.3876953125,67.6829833984375,346.3869934082031,604.9036865234375,2260.08544921875,469.1748962402344,1044.2607421875,3487.978271484375,510.3854370117188,3498.97412109375,201.5825958251953,342.1086120605469,235.4412078857422,254.8928985595703,1124.50537109375,676.6965942382812,518.9450073242188,1090.2493896484375,1608.36572265625,1160.4207763671875,1005.9218139648438,548.8743286132812,2105.208251953125,534.8883056640625,148.87005615234375,991.3582763671876,687.3651123046875,1322.466796875
2010-04-30,2721.51123046875,1002.7769165039062,1302.0709228515625,993.6069946289062,340.5277709960937,2872.115966796875,342.2196044921875,311.1472473144531,2035.179443359375,464.8059692382813,761.0277099609375,570.480712890625,671.138916015625,125.85043334960938,292.6529846191406,1901.976806640625,4.005547046661377,7290.89892578125,1109.9727783203125,240.76507568359372,605.6581420898438,798.4956665039062,1208.1956787109375,1743.2318115234375,662.4281005859375,227.51768493652344,13.024728775024414,270.81805419921875,811.323486328125,376.39697265625,1484.1163330078125,1923.0750732421875,248.5171661376953,697.811767578125,84.89269256591797,65.82170104980469,346.197998046875,602.9859619140625,2281.960205078125,477.8329162597656,1045.25537109375,3446.455322265625,512.3770751953125,3346.457763671875,197.98602294921875,335.56207275390625,234.7651824951172,256.7779846191406,1121.5205078125,676.6965942382812,509.2450866699219,1075.38232421875,1604.2567138671875,1150.4940185546875,976.1357421875,547.3648071289062,2098.82861328125,532.9036865234375,149.74578857421875,986.8724975585938,693.8265991210938,1316.47509765625
2010-05-04,2536.71484375,1004.7705078125,1318.90380859375,907.5739135742188,323.1448669433594,2892.992919921875,346.691162109375,297.1191101074219,2074.318603515625,457.7605590820313,757.04345703125,553.6290283203125,722.4583129882812,124.16184997558594,294.2425537109375,1856.4998779296875,3.964290142059326,7391.275390625,1101.01318359375,233.64007568359372,606.1566772460938,760.6381225585938,1211.686767578125,1684.7010498046875,649.8340454101562,215.55880737304688,12.586453437805176,272.6082458496094,770.9277954101562,364.11517333984375,1488.1029052734375,1970.517578125,239.66995239257807,681.9284057617188,81.97219848632812,63.86090469360352,340.8137512207031,620.72119140625,2244.176513671875,460.51702880859375,1015.4193725585938,3476.838134765625,508.8916320800781,3132.04248046875,195.24566650390625,335.0660095214844,229.35665893554688,252.69378662109372,1109.578369140625,672.7101440429688,487.8244018554688,1079.34716796875,1641.23583984375,1149.5010986328125,928.4777221679688,547.4278564453125,2067.99462890625,531.910888671875,146.24295043945312,946.0020751953124,673.9459838867188,1301.0675048828125
2010-05-05,2499.366943359375,981.8441162109376,1269.3956298828125,880.8483276367188,320.312744140625,2835.33251953125,340.72906494140625,296.8891906738281,2035.6751708984373,449.2265930175781,731.7860107421875,560.0723266601562,662.17041015625,119.99002075195312,290.7655639648437,1820.8880615234373,3.859274864196777,7386.71337890625,1076.1256103515625,224.6349029541016,598.6792602539062,803.9749145507812,1189.9205322265625,1650.67138671875,647.1566772460938,208.2838287353516,12.283029556274414,265.3479919433594,773.7725219726562,355.8793334960937,1461.191162109375,1861.28955078125,231.5567169189453,663.927001953125,80.28919219970703,59.819820404052734,331.7455444335937,600.1103515625,2168.609130859375,452.68365478515625,982.1022338867188,3429.238037109375,496.5428161621094,3158.7822265625,194.9032287597656,329.9082336425781,221.2437744140625,252.90318298339844,1082.7099609375,657.760986328125,508.03265380859375,1069.4359130859375,1543.53759765625,1139.5745849609375,911.45703125,536.9871215820312,2027.591796875,531.4149169921875,144.3885498046875,925.7249145507812,665.9937744140625,1249.709716796875
2010-05-06,2469.295166015625,975.86328125,1262.464599609375,873.8851928710938,311.3285217285156,2802.5244140625,339.5366516113281,277.5258178710937,2023.28955078125,445.3564453125,731.2879028320312,562.0552368164062,673.1317138671875,116.51351928710938,289.9707336425781,1846.0325927734373,3.836773872375488,7450.5888671875,1078.1168212890625,219.29116821289065,598.180908203125,808.4580688476562,1177.447998046875,1632.52197265625,623.1581420898438,203.89886474609372,12.091981887817385,258.6844482421875,773.2034301757812,350.171875,1435.2769775390625,1834.8101806640625,230.16476440429688,664.4566040039062,79.1011734008789,56.37594604492188,327.4003601074219,587.648193359375,2180.538818359375,453.0960693359375,973.6488037109376,3407.97021484375,501.4225769042969,3076.5810546875,190.9639892578125,322.4688415527344,234.7651824951172,251.43716430664065,1077.734375,657.760986328125,508.03265380859375,1068.4444580078125,1471.4052734375,1109.7950439453125,926.7756958007812,528.0563354492188,2026.5284423828125,520.4989624023438,143.51275634765625,925.2263793945312,664.0056762695312,1220.6068115234375
2010-05-07,2426.612060546875,915.058837890625,1229.7886962890625,865.9273071289062,296.2893981933594,2755.7998046875,328.20880126953125,260.9681091308594,1986.6279296875,418.4644470214844,713.3544311523438,549.0692749023438,646.7247314453125,109.1631088256836,273.9772033691406,1784.91552734375,3.695003747940064,7030.83740234375,1049.2476806640625,207.91098022460935,570.2659301757812,797.9974365234375,1146.015625,1543.137451171875,624.3482666015625,191.54135131835935,11.552572250366213,250.5290679931641,728.825439453125,336.0840759277344,1358.5291748046875,1764.19775390625,219.72540283203125,626.3366088867188,74.84419250488281,53.28045272827149,311.4364624023437,574.7062377929688,2114.9150390625,447.7364196777344,942.3208618164062,3259.092529296875,478.0195617675781,3097.3798828125,187.7099151611328,310.3675842285156,224.6241607666016,241.9073486328125,1048.87548828125,639.3237915039062,486.6119384765625,1048.621826171875,1435.33935546875,1078.0294189453125,879.9688110351562,514.5343627929688,1960.6075439453125,503.1322937011719,136.91928100585938,886.8414306640625,631.699951171875,1160.6890869140625
2010-05-10,2669.6142578125,968.3873291015624,1297.120361328125,941.528076171875,331.0550842285156,2833.344482421875,337.45001220703125,303.1903381347656,2049.546142578125,441.684814453125,732.2841796875,544.4105224609375,694.556396484375,115.52019500732422,285.00390625,1902.4581298828125,3.956789255142212,7295.46337890625,1090.0625,225.8224029541016,584.721923828125,857.7727661132812,1184.9315185546875,1625.715576171875,665.9981079101562,202.90231323242188,12.429119110107422,267.13824462890625,796.530517578125,365.56005859375,1451.22412109375,1885.5625,235.7325439453125,658.1032104492188,82.96218872070312,60.71562576293945,327.87255859375,582.8549194335938,2222.30224609375,456.8064575195313,984.0916137695312,3416.07177734375,488.8745422363281,3335.068359375,197.64344787597656,322.76641845703125,237.8074951171875,249.34266662597656,1084.7001953125,650.286376953125,497.9285583496094,1067.4537353515625,1602.8868408203125,1105.82421875,943.79638671875,529.314453125,2036.0977783203125,518.0179443359375,143.20370483398438,966.1038818359376,673.9459838867188,1233.4464111328125
2010-05-11,2597.343505859375,962.4063720703124,1275.336669921875,928.596435546875,325.7816467285156,2834.83544921875,339.13922119140625,299.3267517089844,2052.0234375,436.62396240234375,731.7860107421875,540.7424926757812,686.0862426757812,118.10276794433594,282.0237121582031,1872.621337890625,3.97179102897644,7071.89990234375,1082.0989990234375,219.48910522460935,582.7278442382812,841.3343505859375,1181.9378662109375,1620.724609375,655.8831176757812,199.31466674804688,12.38416576385498,260.7730712890625,789.7031860351562,357.396484375,1436.2734375,1851.359375,230.56251525878903,659.1622314453125,80.28919219970703,60.018890380859375,325.5111999511719,587.16845703125,2180.538818359375,446.0872802734375,979.1187133789062,3418.097412109375,486.982421875,3263.761474609375,198.499755859375,320.6834716796875,236.62437438964844,250.1803741455078,1080.7197265625,641.3169555664062,499.5451049804688,1061.5067138671875,1554.0382080078125,1098.8753662109375,925.9247436523438,522.2702026367188,2032.9080810546875,510.5751647949219,140.9887237548828,952.6441650390624,674.4428100585938,1226.5987548828125
2010-05-12,2610.439697265625,975.3648681640624,1302.0709228515625,940.5333862304688,334.96142578125,2874.104736328125,344.9024963378906,302.46368408203125,2047.565185546875,441.98248291015625,751.2139282226562,536.8764038085938,713.9882202148438,119.69202423095705,283.51373291015625,1911.481201171875,4.181820392608643,7414.087890625,1090.0625,225.4265899658203,600.1747436523438,858.8821411132812,1181.4390869140625,1653.3934326171875,661.1389770507812,204.1978454589844,12.799973487854004,266.74041748046875,794.254638671875,373.1458740234375,1472.1556396484375,1875.632568359375,232.74984741210935,674.51611328125,82.5167007446289,59.232566833496094,331.84002685546875,601.5482788085938,2209.375,466.28900146484375,998.5122680664062,3453.544921875,506.4019470214844,3260.294921875,209.2897186279297,325.3454284667969,240.0047149658203,252.61631774902344,1123.5107421875,654.771240234375,518.1366577148438,1090.2493896484375,1554.9510498046875,1133.618408203125,971.8804321289062,529.6287231445312,2012.9061279296875,522.9796752929688,142.1219940185547,1005.9843139648438,698.2993774414062,1240.5394287109375
2010-05-13,2668.642333984375,985.3328247070312,1304.051513671875,951.9730834960938,333.3988952636719,2916.853515625,340.9278259277344,302.6477355957031,2059.455078125,441.0894775390625,753.7047119140625,542.8241577148438,712.9915161132812,132.7042236328125,284.3084716796875,1944.5665283203125,4.193071365356445,7400.39990234375,1101.01318359375,227.3067626953125,596.1870727539062,890.7662963867188,1195.408447265625,1654.3011474609375,659.5523681640625,207.68588256835935,12.8224515914917,287.1288452148437,796.530517578125,372.4233703613281,1475.1455078125,1895.4918212890625,234.7382659912109,672.9277954101562,82.2691650390625,60.267723083496094,334.86279296875,602.027587890625,2237.215576171875,463.8152160644531,995.5285034179688,3452.53173828125,507.3978271484375,3365.2744140625,209.46099853515625,335.7603759765625,243.0470428466797,251.56890869140625,1117.539794921875,664.7373046875,521.3699340820312,1090.2493896484375,1544.4508056640625,1134.611572265625,974.4336547851562,534.2828979492188,2038.42626953125,524.4682006835938,142.17347717285156,1013.960205078125,693.8265991210938,1255.0938720703125
2010-05-14,2525.55859375,958.9178466796876,1274.34619140625,897.2616577148438,319.2386779785156,2862.671142578125,329.7987365722656,284.1576232910156,2014.371826171875,420.9451599121094,743.2434692382812,525.5758666992188,693.5599975585938,129.4263153076172,281.0303955078125,1847.957763671875,4.1255621910095215,7386.71337890625,1085.085693359375,219.19223022460935,573.7551879882812,883.791748046875,1164.4754638671875,1578.9820556640625,642.0991821289062,202.20469665527344,12.710068702697754,272.70782470703125,777.7552490234375,357.9744567871094,1446.2410888671875,1827.0867919921875,224.1994171142578,646.4555053710938,78.35868072509766,57.41111373901367,319.2768249511719,592.4413452148438,2148.7216796875,447.32415771484375,978.1240844726562,3356.318603515625,495.94537353515625,3179.085693359375,207.06317138671875,329.2138671875,235.2722320556641,246.9607391357422,1091.666015625,648.7915649414062,509.2450866699219,1072.4093017578125,1480.9925537109375,1119.7216796875,942.9453735351562,519.4400024414062,2003.336181640625,517.5216674804688,138.56764221191406,988.0380859375,664.999755859375,1204.581787109375
2010-05-17,2516.342529296875,961.9081420898438,1280.287353515625,882.3404541015625,309.5707702636719,2888.519287109375,328.30816650390625,280.29412841796875,2021.802978515625,429.9751892089844,739.75634765625,525.2786865234375,697.5460205078125,126.74442291259766,282.61981201171875,1873.9447021484373,4.103058815002441,7341.0888671875,1091.0584716796875,199.79641723632807,589.2080078125,871.8350830078125,1177.447998046875,1599.3995361328125,643.6854858398438,199.8129425048828,12.676353454589844,276.78546142578125,773.7725219726562,354.5066833496094,1424.3128662109375,1811.640625,223.9010772705078,656.5148315429688,76.9726791381836,57.03287506103516,317.5765075683594,591.9617919921875,2137.784423828125,440.7276306152344,977.1298217773438,3339.101806640625,494.0531311035156,3084.504150390625,203.2953186035156,326.3373107910156,230.3707427978516,247.17022705078125,1085.6956787109375,648.7915649414062,510.4575500488281,1073.4002685546875,1543.994140625,1127.6627197265625,947.2006225585938,524.4086303710938,2004.3994140625,520.0026245117188,140.4735565185547,961.11865234375,663.5087280273438,1202.86962890625
2010-05-18,2579.397216796875,974.8663940429688,1274.34619140625,896.2670288085938,315.3323974609375,2896.47216796875,331.7861022949219,281.3519592285156,2018.3349609375,448.5319519042969,743.2434692382812,529.3427124023438,700.5355834960938,128.33370971679688,285.5998840332031,1888.6224365234373,4.170569896697998,7395.837890625,1103.00390625,218.00474548339844,607.1537475585938,872.3331909179688,1170.462646484375,1632.52197265625,645.1731567382812,199.7132873535156,12.77750301361084,281.9570617675781,778.3240966796875,364.8376770019531,1421.3231201171875,1825.9830322265625,225.79019165039065,672.3984375,77.71519470214844,57.87891006469727,322.5828552246094,602.9859619140625,2155.68212890625,437.01702880859375,989.0641479492188,3363.40771484375,499.9287109375,3167.200927734375,206.5494842529297,332.7846984863281,233.7510986328125,247.69384765625,1101.6173095703125,652.77783203125,512.882568359375,1091.2406005859375,1538.5159912109375,1159.4278564453125,959.1150512695312,521.8300170898438,2013.9693603515625,536.8731689453125,140.1129608154297,970.5902709960938,668.4788818359375,1205.437744140625
2010-05-19,2420.307373046875,957.9210205078124,1252.5628662109375,841.058349609375,301.269775390625,2886.03369140625,327.9107360839844,266.9555053710937,1989.1053466796875,442.081787109375,728.7969970703125,518.934326171875,678.1142578125,125.15518188476562,279.7388916015625,1816.67724609375,4.043050765991211,7373.025390625,1074.135009765625,213.05679321289065,604.16259765625,838.4562377929688,1174.9530029296875,1600.7607421875,632.8291625976562,192.0396423339844,12.530265808105469,275.89031982421875,732.2390747070312,351.9057922363281,1367.5,1727.788330078125,216.24557495117188,645.9258422851562,74.4976806640625,56.05743408203125,315.8761291503906,594.3582763671875,2064.204833984375,427.1224060058594,957.2390747070312,3267.195068359375,484.4927673339844,2955.756591796875,196.95843505859372,320.4833984375,226.3143310546875,243.92344665527344,1079.72412109375,644.306884765625,503.9910278320313,1063.48876953125,1508.384521484375,1142.552734375,913.1591796875,517.8675537109375,1996.9556884765625,530.4225463867188,134.96182250976562,926.721923828125,646.6102294921875,1164.3436279296875
2010-05-20,2343.671875,938.4834594726562,1243.6513671875,822.65576171875,299.3168029785156,2839.805908203125,321.1539001464844,264.93182373046875,1964.8302001953125,441.5856018066406,718.3358154296875,524.1881103515625,643.7352905273438,125.75111389160156,274.672607421875,1810.421142578125,3.998046159744263,7309.15087890625,1059.2027587890625,213.15577697753903,592.1990966796875,812.0518798828125,1163.4781494140625,1591.6861572265625,626.7796630859375,185.8609313964844,12.103227615356444,272.1109924316406,697.5330200195312,339.84088134765625,1328.6275634765625,1678.1395263671875,210.87669372558597,631.101318359375,74.64616394042969,54.6440658569336,309.5473022460937,552.6575317382812,2006.5340576171875,425.8854675292969,937.8457641601562,3229.722900390625,471.4467468261719,2784.917724609375,193.0192108154297,314.1331787109375,223.2720184326172,243.1903839111328,1041.9091796875,635.8356323242188,497.12017822265625,1030.7813720703125,1477.34033203125,1130.6405029296875,891.0324096679688,501.8297424316406,1977.8157958984373,522.4835205078125,133.36492919921875,888.8353881835938,622.2569580078125,1131.8106689453125
2010-05-21,2404.78662109375,929.0139770507812,1248.6021728515625,853.990478515625,300.8792724609375,2826.882568359375,321.6506652832031,274.9586486816406,1974.2432861328125,434.44091796875,711.3616943359375,502.2808837890625,634.7667846679688,124.16184997558594,270.7982788085937,1828.94873046875,3.9605398178100586,7290.89892578125,1043.2747802734375,211.96827697753903,590.2052612304688,846.9254760742188,1137.0357666015625,1598.4921875,624.0028076171875,187.8540802001953,12.091981887817385,277.9789733886719,702.6536254882812,337.1678161621094,1331.6180419921875,1691.3792724609375,211.3738250732422,631.6306762695312,74.25018310546875,55.53987503051758,308.9805908203125,540.1951293945312,2047.3009033203125,426.2978820800781,930.3866577148438,3224.65869140625,470.3512878417969,2880.983642578125,193.19046020507807,314.1331787109375,221.5818328857422,242.87612915039065,1042.904052734375,612.4153442382812,489.84521484375,1029.7901611328125,1472.7750244140625,1117.736083984375,894.4364624023438,500.2574768066406,1959.738525390625,525.95703125,133.93150329589844,898.8056030273438,624.7418823242188,1123.2489013671875
