Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,DGE.L,EXPN.L,EZJ.L,FRES.L,GLEN.L,GSK.L,HMSO.L,HSBA.L,IAG.L,IHG.L,III.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MNDI.L,NG.L,NXT.L,PRU.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RR.L,SBRY.L,SDR.L,SGE.L,SMIN.L,SN.L,SSE.L,STAN.L,STJ.L,SVT.L,TLW.L,TPK.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2014-06-17,1380.97900390625,2982.91015625,1549.4891357421875,753.2078247070312,500.742431640625,4349.88134765625,415.7581176757813,1187.3013916015625,235.73834228515625,3517.947265625,680.1392822265625,1620.6873779296875,502.5419616699219,1440.0147705078125,380.718994140625,1377.2513427734375,321.5518493652344,8.567682266235352,10441.5419921875,1882.3095703125,999.829345703125,1441.934326171875,820.9151000976562,323.7048034667969,1587.1090087890625,2601.48974609375,608.0925903320312,379.7940979003906,29.9958553314209,409.9392700195313,2787.750732421875,172.24929809570312,3333.37158203125,360.1689453125,1081.82080078125,223.77395629882807,77.62641906738281,411.98583984375,1156.56884765625,909.6249389648438,6287.66162109375,1115.2464599609375,1191.523193359375,1103.681884765625,5298.88623046875,950.8944091796876,3023.3408203125,346.5805969238281,319.99072265625,432.7879333496094,390.3347473144531,1280.6478271484375,1068.194580078125,1550.739501953125,1235.14501953125,754.8990478515625,1958.8916015625,742.4034423828125,1504.3133544921875,365.4509887695313,102.21372985839844,2846.675537109375,881.064453125,193.8184356689453,2603.004638671875,1281.7542724609375,3649.72509765625
2014-06-18,1396.03173828125,3042.7685546875,1541.5478515625,755.2017211914062,499.7634887695313,4379.271484375,415.7581176757813,1168.3443603515625,234.74154663085935,3515.467041015625,675.1674194335938,1631.6585693359375,510.7837524414063,1442.00927734375,383.0070495605469,1363.3096923828125,318.7651672363281,8.567682266235352,10514.6240234375,1851.909912109375,997.8335571289062,1426.976318359375,819.9176025390625,324.05303955078125,1579.605712890625,2567.407958984375,606.1058959960938,375.6084289550781,29.83778190612793,392.64105224609375,2775.78173828125,172.44810485839844,3299.61572265625,362.0604553222656,1072.358154296875,222.9803924560547,77.29795837402344,415.014404296875,1170.7935791015625,913.4195556640624,6272.7265625,1119.37548828125,1200.45947265625,1102.685791015625,5248.1787109375,948.4012451171876,3053.583740234375,346.2377319335937,315.21905517578125,428.21978759765625,388.1407775878906,1284.6343994140625,1050.24169921875,1551.73291015625,1217.5882568359375,755.39697265625,1918.5718994140625,738.5721435546875,1491.109619140625,368.0338439941406,104.69463348388672,2841.350341796875,856.9334106445312,196.6475372314453,2620.96337890625,1255.88037109375,3637.72900390625
2014-06-19,1409.6279296875,3063.71826171875,1545.5184326171875,762.678955078125,504.1687622070313,4427.59375,422.4302062988281,1167.346923828125,235.4393615722656,3558.14453125,683.6194458007812,1625.674072265625,512.07421875,1446.995849609375,390.4682922363281,1377.2513427734375,319.8599853515625,8.644488334655762,10642.5185546875,1846.9261474609373,1000.8270263671876,1420.9931640625,832.884765625,323.8043518066406,1590.6102294921875,2571.952392578125,606.3045654296875,374.3128967285156,30.04855728149414,397.5216369628906,2774.784423828125,172.44810485839844,3295.396240234375,366.8387756347656,1090.389892578125,224.17071533203125,77.03916931152344,415.96087646484375,1198.1483154296875,915.5880126953124,6337.447265625,1111.117919921875,1220.3182373046875,1118.62353515625,5303.95751953125,948.8998413085938,3054.078857421875,374.3481140136719,319.3941955566406,431.4344177246094,390.1353759765625,1284.6343994140625,1062.2103271484375,1564.647705078125,1204.7763671875,752.409423828125,1939.4691162109373,741.9777221679688,1529.7784423828125,366.5218505859375,106.9770965576172,2855.1953125,865.8857421875,193.42138671875,2681.8232421875,1261.85107421875,3684.8603515625
2014-06-20,1414.48388671875,3078.682373046875,1529.63623046875,768.162353515625,500.2530822753906,4453.498046875,426.2143249511719,1174.330810546875,233.84446716308597,3569.062744140625,682.625244140625,1640.6343994140625,514.9542846679688,1450.984619140625,385.7926635742188,1385.2181396484375,318.26763916015625,8.59328556060791,10651.654296875,1847.92236328125,1002.8228759765624,1447.91748046875,844.8543090820312,326.3916320800781,1592.11083984375,2546.95947265625,605.4105834960938,383.2820739746094,30.36471939086914,402.30267333984375,2779.771728515625,172.3486785888672,3270.080078125,365.146484375,1081.90478515625,224.6666717529297,76.34242248535156,410.4714965820313,1200.3369140625,914.5036010742188,6327.4892578125,1110.7047119140625,1221.3114013671875,1114.63916015625,5344.52099609375,953.88623046875,3051.600830078125,371.948486328125,314.9209899902344,433.1262817382813,390.1353759765625,1287.62451171875,1076.17333984375,1568.6212158203125,1200.5059814453125,743.446044921875,1926.532470703125,744.9575805664062,1535.4373779296875,365.8289489746094,107.572509765625,2861.58544921875,870.3619384765625,190.44338989257807,2690.802734375,1273.792236328125,3773.125732421875
2014-06-23,1428.0799560546875,3057.732177734375,1522.6875,776.6366577148438,499.27392578125,4357.35498046875,421.832763671875,1154.3763427734375,233.54544067382807,3517.947265625,672.1845703125,1615.70068359375,516.3442993164062,1454.9735107421875,382.9075927734375,1362.3138427734375,317.471435546875,8.533551216125488,10532.8955078125,1832.473876953125,996.3369750976562,1418.9989013671875,858.81884765625,327.8345031738281,1572.103759765625,2551.504150390625,602.4301147460938,378.5981750488281,31.19464111328125,400.60943603515625,2755.83349609375,170.36082458496094,3180.416259765625,363.5535278320313,1074.4796142578125,224.76583862304688,75.09825134277344,409.4303588867188,1203.6195068359375,915.5880126953124,6302.5966796875,1104.9241943359375,1207.4102783203125,1114.63916015625,5283.6728515625,949.8970336914062,3100.68408203125,360.9786376953125,313.4297790527344,430.4193115234375,386.0465698242188,1283.6376953125,1056.2259521484375,1572.5947265625,1211.89404296875,745.43798828125,1933.4984130859373,742.4034423828125,1508.086181640625,367.9078369140625,105.78624725341795,2858.3896484375,878.81689453125,190.09593200683597,2690.802734375,1250.904296875,3774.839599609375
2014-06-24,1414.96923828125,3046.7587890625,1518.7171630859375,776.6366577148438,493.88958740234375,4336.92919921875,424.02349853515625,1147.3919677734375,232.9474334716797,3533.331787109375,683.1224975585938,1625.674072265625,520.216796875,1451.9820556640625,381.5148620605469,1362.3138427734375,316.8743591308594,8.533551216125488,10405.0029296875,1835.9620361328125,988.3544311523438,1474.8414306640625,856.3250732421875,326.4413452148437,1577.1051025390625,2581.04052734375,601.4365844726562,385.4744873046875,31.155113220214844,395.4299621582031,2736.88330078125,169.8638916015625,3151.93408203125,363.055908203125,1090.389892578125,224.6666717529297,74.65035247802734,410.5661315917969,1195.9598388671875,914.5036010742188,6367.31591796875,1097.9046630859375,1197.4805908203125,1129.58056640625,5278.6025390625,942.4175415039062,3069.944580078125,353.7795715332031,314.0262756347656,423.6517028808594,382.5560607910156,1272.6746826171875,1042.2623291015625,1570.6080322265625,1202.40380859375,738.466552734375,1909.615966796875,741.552001953125,1487.3369140625,364.5690307617188,104.69463348388672,2874.365234375,870.8593139648438,189.25218200683597,2612.981689453125,1241.9481201171875,3753.416015625
2014-06-25,1386.3204345703125,3007.851806640625,1503.82763671875,760.1866455078125,492.91064453125,4345.89501953125,421.1355895996094,1147.3919677734375,229.25924682617188,3495.616455078125,686.1055297851562,1595.75390625,513.2659301757812,1460.9569091796875,379.2267456054688,1326.463623046875,312.3959045410156,8.542084693908691,10386.7314453125,1834.467041015625,966.5498657226562,1469.8555908203125,855.8263549804688,322.5605163574219,1562.0994873046875,2599.216552734375,597.6614990234375,380.7906799316406,31.313194274902344,392.24267578125,2697.984619140625,168.4723663330078,3140.331787109375,355.4315490722656,1089.3292236328125,222.38525390625,74.18254852294922,403.3730773925781,1182.8297119140625,910.1669311523438,6372.2939453125,1088.8209228515625,1190.5302734375,1123.6043701171875,5197.47216796875,932.9436645507812,3071.43212890625,358.2360534667969,310.8453369140625,418.5760498046875,377.9685668945313,1260.7154541015625,1028.29931640625,1553.7198486328125,1193.387939453125,746.4337768554688,1880.757568359375,720.6932373046875,1491.109619140625,359.4031066894531,103.7022705078125,2831.76611328125,859.91748046875,188.4084014892578,2581.054931640625,1231.9964599609375,3713.13916015625
2014-06-26,1386.80615234375,3030.79638671875,1503.82763671875,761.18359375,489.2885437011719,4329.45654296875,423.2268371582031,1147.3919677734375,214.3076019287109,3468.81982421875,695.5518188476562,1611.7115478515625,511.87603759765625,1454.9735107421875,384.0019226074219,1346.3802490234375,311.69927978515625,8.60181713104248,10395.865234375,1826.9913330078125,975.03271484375,1469.8555908203125,859.3175659179688,322.9585266113281,1563.099609375,2635.569580078125,590.7073974609375,382.8834533691406,31.58983993530273,398.3184509277344,2710.950439453125,175.23109436035156,3217.336181640625,357.9206237792969,1104.178955078125,222.9803924560547,75.03854370117188,403.2785034179688,1183.9239501953125,912.3353881835938,6437.01318359375,1090.8856201171875,1250.1060791015625,1139.54150390625,5101.13037109375,939.9243774414062,3109.1123046875,358.5789794921875,311.6405334472656,422.6365356445313,383.3538818359375,1281.6444091796875,1024.3099365234375,1557.693359375,1141.6666259765625,764.3601684570312,1892.6990966796875,718.9904174804688,1531.664794921875,359.3400573730469,109.06105041503906,2812.596435546875,870.8593139648438,192.8257751464844,2605.000244140625,1252.8946533203125,3742.275390625
2014-06-27,1389.719482421875,3034.78662109375,1528.6435546875,762.1804809570312,501.2319641113281,4353.86767578125,429.7993774414063,1156.37158203125,215.35423278808597,3449.9609375,703.5068359375,1624.677001953125,510.9819946289063,1469.9322509765625,386.98638916015625,1346.3802490234375,311.3011779785156,8.670088768005371,10386.7314453125,1841.444091796875,983.5156860351562,1454.89794921875,852.8341674804688,322.5107421875,1574.10400390625,2644.6572265625,593.091552734375,382.4848327636719,31.5766716003418,404.0956115722656,2722.919189453125,175.03233337402344,3229.994873046875,358.6174621582031,1103.1182861328125,224.2699279785156,74.99871826171875,408.7678833007813,1172.9820556640625,907.4566040039062,6451.94775390625,1104.9241943359375,1268.97216796875,1130.576904296875,5161.97705078125,932.9436645507812,3096.7177734375,366.4635314941406,314.8215637207031,424.1593017578125,383.7527465820313,1290.6138916015625,1032.2889404296875,1555.70654296875,1131.702392578125,769.3397827148438,1907.625732421875,726.2272338867188,1559.958740234375,357.5132141113281,112.93128967285156,2809.401123046875,875.8327026367188,194.8111267089844,2633.933349609375,1260.85595703125,3749.988037109375
2014-06-30,1388.748291015625,3041.77001953125,1537.577392578125,760.6851196289062,499.7634887695313,4324.47509765625,431.0939331054688,1159.364990234375,212.1147003173828,3451.94677734375,698.534912109375,1617.6954345703125,511.2801208496094,1478.9072265625,382.9075927734375,1336.4217529296875,311.1021423339844,8.67862319946289,10459.8134765625,1859.883544921875,986.0104370117188,1361.161865234375,869.791015625,323.95367431640625,1564.60009765625,2635.569580078125,589.0183715820312,369.2303771972656,31.892822265625,400.310546875,2741.869873046875,177.1195831298828,3270.080078125,357.4227600097656,1098.8756103515625,223.57557678222656,73.90385437011719,402.4265747070313,1162.0401611328125,910.7091674804688,6446.9677734375,1107.4014892578125,1264.007568359375,1149.5025634765625,5172.119140625,937.4312744140624,3082.33935546875,366.4635314941406,313.62872314453125,423.9900207519531,383.05462646484375,1292.6075439453125,1036.2784423828125,1556.69970703125,1133.125732421875,758.8826293945312,1922.55224609375,726.65283203125,1544.86865234375,358.0801696777344,113.12977600097656,2823.24609375,877.3247680664062,193.5702972412109,2612.981689453125,1267.8218994140625,3778.267333984375
2014-07-01,1444.103759765625,3024.810791015625,1562.392822265625,767.1654663085938,508.0846862792969,4353.3681640625,430.695556640625,1161.3604736328125,215.30435180664065,3497.602294921875,702.5123901367188,1654.596923828125,511.67718505859375,1474.918212890625,390.2693176269531,1332.4384765625,312.9930419921875,8.789558410644531,10596.8408203125,1896.2637939453125,983.5156860351562,1345.20703125,896.2237548828125,331.5661315917969,1574.6038818359375,2662.833740234375,594.2838134765625,371.7218627929688,28.532442092895508,405.8884887695313,2729.9013671875,177.71597290039062,3331.261474609375,359.4139404296875,1116.9073486328125,225.16261291503903,75.15797424316406,404.1302795410156,1167.5107421875,927.5137329101562,6516.666015625,1123.5052490234375,1288.830810546875,1155.478759765625,5182.26025390625,939.4256591796876,3175.548583984375,366.8063049316406,312.2370300292969,429.7424621582031,385.2486572265625,1294.600341796875,1041.26513671875,1573.58837890625,1132.1766357421875,771.33154296875,1952.405517578125,727.9298706054688,1584.480712890625,358.01715087890625,114.3206024169922,2830.701171875,888.2665405273438,194.6125640869141,2633.933349609375,1260.85595703125,3761.984619140625
2014-07-02,1442.1617431640625,3089.65673828125,1559.4149169921875,779.1290283203125,507.5950927734375,4402.1875,422.9281311035156,1157.53271484375,216.40081787109372,3505.045654296875,699.5960693359375,1648.6131591796875,516.1455078125,1456.19921875,388.7770690917969,1347.376220703125,313.9882202148437,8.883429527282715,10660.787109375,1890.7821044921875,984.0145874023438,1321.2745361328125,902.2086181640624,334.3524169921875,1569.1024169921875,2669.649658203125,597.3635864257812,363.15130615234375,31.012474060058597,403.49798583984375,2704.966064453125,177.91473388671875,3332.316162109375,359.3143615722656,1122.210693359375,224.96421813964844,75.34709930419922,408.8624877929688,1165.3226318359375,929.14013671875,6511.6875,1132.588623046875,1280.88720703125,1129.58056640625,5136.62353515625,934.9380493164062,3212.23681640625,359.2645263671875,312.435791015625,428.5582275390625,385.3483581542969,1277.657958984375,1036.2784423828125,1584.5159912109375,1159.6981201171875,773.8212890625,1948.42529296875,723.2474365234375,1566.5611572265625,359.0252380371094,115.90838623046876,2831.76611328125,886.7743530273438,193.12355041503903,2624.9541015625,1260.85595703125,3760.271484375
2014-07-03,1481.008056640625,3090.655029296875,1563.3853759765625,817.51220703125,514.9374389648438,4406.67041015625,425.9156494140625,1163.5196533203125,218.6436309814453,3557.152587890625,699.5960693359375,1657.5897216796875,513.2659301757812,1469.1654052734375,386.8869323730469,1330.4466552734375,313.29156494140625,8.926094055175781,10624.2470703125,1897.7589111328125,1000.980224609375,1344.209716796875,931.1351928710938,339.82550048828125,1583.1072998046875,2674.1943359375,603.1253051757812,363.9485168457031,31.562620162963867,405.390380859375,2726.908935546875,182.58624267578125,3354.46826171875,359.8122253417969,1112.66455078125,227.14642333984372,76.04383087158203,410.7554016113281,1174.0762939453125,925.3453369140624,6591.34033203125,1142.49853515625,1306.70361328125,1138.545654296875,5222.8251953125,947.40380859375,3269.7490234375,364.4066467285156,319.0960388183594,429.7424621582031,387.4427185058594,1292.6075439453125,1035.2808837890625,1584.5159912109375,1167.2900390625,788.261962890625,1964.3468017578125,721.1189575195312,1596.7415771484375,366.3958740234375,116.20608520507812,2852.00048828125,891.748046875,195.10891723632807,2701.77734375,1270.8077392578125,3797.119873046875
2014-07-04,1477.1229248046875,3117.590087890625,1559.4149169921875,824.4910278320312,510.5321350097656,4401.19140625,427.6084289550781,1158.530517578125,217.8461761474609,3576.01025390625,689.6517333984375,1658.5865478515625,515.549560546875,1454.2044677734375,385.9915771484375,1320.488525390625,313.1920471191406,8.943161964416504,10642.5185546875,1896.7620849609373,1018.9439697265624,1357.17333984375,925.6491088867188,340.5220031738281,1579.605712890625,2651.473876953125,603.3240966796875,366.34033203125,31.549823760986328,403.7967834472656,2734.8876953125,182.6856384277344,3347.08447265625,360.1109313964844,1103.1182861328125,226.2536773681641,75.32719421386719,412.9322814941406,1158.7574462890625,922.0930786132812,6556.49462890625,1140.0208740234375,1295.781494140625,1142.530029296875,5197.47216796875,946.9053344726562,3259.337646484375,364.4066467285156,319.69244384765625,429.0657958984375,385.04925537109375,1298.586669921875,1032.2889404296875,1578.5555419921875,1162.545166015625,783.7803955078125,1963.351806640625,718.5647583007812,1587.31005859375,366.458984375,116.20608520507812,2845.61083984375,888.2665405273438,196.89572143554688,2708.760986328125,1271.802734375,3780.838134765625
