Date,AAL.L,ABF.L,ADM.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BKG.L,BLND.L,BME.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CPG.L,CPI.L,DCC.L,DGE.L,EXPN.L,FRES.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HSBA.L,IAG.L,IHG.L,III.L,INF.L,ITRK.L,ITV.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MNDI.L,MRO.L,NG.L,NXT.L,OCDO.L,PRU.L,PSH.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2021-01-18,2604.81689453125,2266.5078125,2918.717041015625,1519.9788818359375,566.6244506835938,344.60107421875,7652.49658203125,487.2357482910156,151.0452117919922,2738.6904296875,4625.00390625,452.7887878417969,502.034423828125,2431.644287109375,299.5331726074219,1736.1827392578125,138.38201904296875,2312.77783203125,12.844027519226074,562.1998901367188,5710.45556640625,2893.146240234375,2678.7421875,1086.212890625,276.1177673339844,1406.6815185546875,2490.966552734375,2533.880615234375,401.6774291992188,160.80886840820312,60.62419891357422,1143.1640625,533.5286254882812,5539.80615234375,108.66021728515624,167.8903350830078,268.02105712890625,661.8450317382812,271.5082397460937,36.083984375,2007.5692138671875,427.02484130859375,870.2889404296875,8085.9189453125,2577.0,1377.08935546875,2637.953857421875,2704.996826171875,665.68359375,6455.59423828125,1811.853515625,5948.46142578125,605.0751953125,104.23247528076172,523.093994140625,238.1634521484375,582.4402465820312,559.371337890625,966.2145385742188,3602.940185546875,1492.5352783203125,1221.702392578125,1567.2664794921875,11438.7099609375,1525.6568603515625,490.0196533203125,1173.7266845703125,2320.62451171875,306.3455810546875,162.79608154296875,4655.484375,921.5074462890624,125.90572357177734,816.7109985351562,3136.66162109375
2021-01-19,2557.1025390625,2262.513671875,2907.755615234375,1508.4979248046875,562.2273559570312,339.88720703125,7712.421875,485.0392150878906,146.5933074951172,2728.731689453125,4613.615234375,446.7063598632813,494.563720703125,2426.6513671875,300.4307556152344,1735.6834716796875,137.78341674804688,2301.7978515625,12.752835273742676,551.2498779296875,5772.330078125,2922.1025390625,2676.743408203125,1074.7315673828125,273.02606201171875,1417.131103515625,2491.96484375,2497.896728515625,410.0997619628906,159.5595703125,61.51051712036133,1127.68896484375,522.3385009765625,5487.8828125,108.80973815917967,163.81202697753906,261.73687744140625,652.6747436523438,266.7292175292969,35.909420013427734,1968.6348876953125,427.02484130859375,876.4724731445312,7970.1201171875,2580.0,1390.171875,2597.985107421875,2704.996826171875,678.0665893554688,6468.06494140625,1820.8428955078125,5891.70458984375,605.8746948242188,104.63240814208984,519.8971557617188,237.46560668945312,581.9315185546875,559.5711669921875,959.427001953125,3563.041015625,1494.5325927734375,1240.6978759765625,1621.6888427734375,11378.7685546875,1513.6832275390625,475.7453308105469,1158.7559814453125,2324.61572265625,305.3366394042969,161.65072631835938,4675.76220703125,926.8941650390624,126.5233917236328,787.7849731445312,3098.7138671875
2021-01-20,2604.81689453125,2300.455322265625,2909.7490234375,1531.4599609375,566.6244506835938,341.7531433105469,7635.517578125,490.6304321289063,146.05429077148438,2736.200439453125,4623.96923828125,446.8061218261719,498.8468933105469,2416.66552734375,302.0263671875,1802.5943603515625,137.78341674804688,2292.81396484375,12.921538352966309,561.14990234375,5872.12744140625,2931.089111328125,2643.77197265625,1088.7088623046875,279.5587463378906,1386.3853759765625,2534.8955078125,2524.885009765625,406.6610412597656,161.7583465576172,61.10533905029297,1145.6600341796875,541.32177734375,5547.794921875,109.70695495605467,166.0510711669922,264.7293701171875,651.5784301757812,266.1318359375,35.69496154785156,1992.76318359375,429.3519287109375,871.2862548828125,8097.8984375,2572.0,1376.6044921875,2627.961669921875,2722.929931640625,736.1866455078125,6482.61328125,1828.8333740234373,6008.20556640625,614.0675048828125,107.38195037841795,518.6983032226562,239.45944213867188,592.2747192382812,572.3567504882812,967.8114624023438,3580.9951171875,1516.503662109375,1266.69140625,1666.1256103515625,11558.5908203125,1517.1754150390625,468.3585510253906,1177.2198486328125,2337.5849609375,305.5889892578125,164.58889770507812,4645.87890625,934.4752807617188,126.6628646850586,808.7313842773438,3147.64599609375
2021-01-21,2598.000732421875,2315.432373046875,2932.667724609375,1536.9508056640625,583.2134399414062,343.2261962890625,7640.51171875,479.1484375,144.5370635986328,2736.69921875,4603.26171875,435.33929443359375,512.1946411132812,2442.62939453125,292.5521850585937,1775.130859375,135.68821716308594,2304.792236328125,12.857706069946287,550.1998901367188,5772.330078125,2904.628662109375,2640.7744140625,1087.7103271484375,275.768798828125,1371.3134765625,2530.902099609375,2559.869140625,412.24267578125,156.8611297607422,61.09268569946289,1147.15771484375,529.5321655273438,5543.80029296875,107.56365203857422,166.37095642089844,272.1107177734375,636.3280639648438,267.724853515625,35.22615051269531,2018.5367431640625,420.1597900390625,866.4990844726562,8143.81787109375,2675.0,1381.9349365234375,2662.934814453125,2718.945068359375,719.01025390625,6505.47607421875,1817.346923828125,5898.67529296875,630.2534790039062,103.28263092041016,524.8924560546875,244.24464416503903,597.70068359375,600.5252075195312,958.029541015625,3648.824951171875,1492.0360107421875,1273.6898193359375,1622.188232421875,11673.4794921875,1505.20166015625,470.6544189453125,1178.2178955078125,2323.617919921875,305.3366394042969,161.55108642578125,4645.87890625,924.1010131835938,127.43993377685548,792.57275390625,3176.606201171875
2021-01-22,2558.562744140625,2250.532470703125,2944.625732421875,1502.0087890625,573.8197631835938,342.83331298828125,7767.3544921875,478.34967041015625,142.8002166748047,2727.23828125,4609.474609375,438.72943115234375,517.3743896484375,2404.681640625,289.2113647460937,1757.15478515625,134.640625,2263.866943359375,12.71636199951172,527.0999145507812,5814.24462890625,2904.129150390625,2633.780029296875,1089.2080078125,270.0838317871094,1386.786865234375,2513.92919921875,2576.861572265625,406.0131530761719,151.51414489746094,60.10506057739258,1142.1656494140625,515.3446655273438,5585.73828125,106.1181640625,165.73121643066406,272.3101806640625,632.2413940429688,263.9414978027344,34.68251419067383,2007.0206298828125,408.2915954589844,873.4805297851562,7900.2421875,2690.0,1351.892578125,2652.941650390625,2705.993408203125,714.0172119140625,6520.02490234375,1867.2879638671875,5850.88037109375,627.65576171875,102.93268585205078,525.49169921875,245.24156188964844,590.0704345703125,606.3185424804688,972.403076171875,3660.794677734375,1493.03466796875,1278.6884765625,1651.1470947265625,11653.498046875,1543.6175537109375,461.0716552734375,1185.7034912109375,2334.592041015625,305.0843811035156,158.4635009765625,4672.560546875,930.4851684570312,126.8621063232422,791.9743041992188,3116.68896484375
2021-01-25,2449.0146484375,2196.614990234375,2934.66064453125,1472.05810546875,579.4159545898438,335.1733703613281,7887.205078125,470.4620971679688,136.87100219726562,2728.731689453125,4579.4482421875,428.558837890625,524.7455444335938,2450.61865234375,279.88671875,1684.7515869140625,131.29830932617188,2228.9306640625,12.05068016052246,502.4999084472656,5722.43115234375,2890.649169921875,2605.803466796875,1080.2225341796875,259.0630187988281,1411.70556640625,2489.968505859375,2595.853515625,396.7935485839844,139.92071533203125,57.76265335083008,1132.6810302734375,492.3650207519531,5621.68505859375,98.9904556274414,163.53211975097656,270.11572265625,611.1101684570312,255.0803985595703,33.74987030029297,1953.8291015625,385.6022338867188,885.648193359375,7868.29833984375,2754.0,1315.0667724609375,2647.946044921875,2675.107177734375,717.0131225585938,6811.00439453125,1864.791015625,5851.87646484375,622.8599853515625,97.98352813720705,524.4926147460938,248.3319854736328,586.6793212890625,610.1143188476562,986.377197265625,3590.97021484375,1473.5604248046875,1305.6820068359375,1608.7071533203125,11663.4853515625,1521.6656494140625,454.0841979980469,1177.7191162109375,2385.473876953125,307.48077392578125,155.52529907226562,4765.4130859375,950.2359619140624,127.91813659667967,766.8385009765625,3030.8076171875
2021-01-26,2444.6328125,2198.612548828125,2928.681884765625,1471.06005859375,584.41259765625,341.2620544433594,7942.13623046875,469.3638000488281,139.1868133544922,2722.25830078125,4591.87255859375,439.926025390625,528.7299194335938,2399.688720703125,281.58209228515625,1717.2081298828125,132.7948760986328,2247.895751953125,12.588699340820312,518.9998779296875,5720.4345703125,2908.12353515625,2611.798583984375,1060.7548828125,254.32562255859372,1416.5283203125,2467.00537109375,2571.86376953125,398.8865661621094,139.87074279785156,58.01588439941406,1154.1463623046875,506.3526916503906,5619.6884765625,102.18048858642578,158.5741729736328,272.90869140625,619.9813232421875,256.67340087890625,34.32342529296875,1985.086181640625,388.8602294921875,879.8635864257812,7866.30224609375,2787.0,1330.0880126953125,2597.985107421875,2666.140380859375,760.3534545898438,6626.02490234375,1869.2855224609373,5883.73974609375,624.0588989257812,96.30380249023438,518.298583984375,250.5252227783203,588.3748779296875,609.7149047851562,985.1795043945312,3626.8798828125,1463.57373046875,1295.684326171875,1632.6732177734375,11583.5693359375,1515.6787109375,459.175048828125,1179.216064453125,2361.52978515625,306.97613525390625,153.9316864013672,4720.587890625,941.4578857421876,128.67529296875,772.0252685546875,2930.946044921875
2021-01-27,2292.725830078125,2181.638427734375,2958.576171875,1427.6318359375,586.0115966796875,337.6285095214844,7769.3515625,475.7537841796875,134.07611083984375,2772.052978515625,4452.09716796875,462.66009521484375,531.1204833984375,2401.68603515625,281.58209228515625,1730.6900634765625,131.19850158691406,2156.0634765625,12.49750804901123,544.1998901367188,5640.59619140625,2848.712646484375,2580.82470703125,922.4822387695312,237.1710968017578,1407.485107421875,2426.072021484375,2554.87109375,398.8368225097656,138.92127990722656,58.05387115478516,1123.695556640625,499.05908203125,5643.65234375,104.47330474853516,152.3767547607422,273.50714111328125,636.8265380859375,248.90745544433597,33.16633605957031,1914.895263671875,382.9259948730469,874.0789184570312,8022.0302734375,2883.0,1299.561279296875,2493.06640625,2631.26953125,866.6072387695312,6686.298828125,1854.8026123046875,5709.48779296875,610.8704223632812,95.14400482177734,505.3112487792969,252.12026977539065,583.4575805664062,617.9054565429688,963.0203247070312,3515.161376953125,1413.1397705078125,1270.6904296875,1610.704345703125,11378.7685546875,1462.79443359375,447.3962707519531,1190.6937255859375,2362.52783203125,308.8679504394531,150.9934844970703,4671.49267578125,942.6549072265624,127.69893646240234,773.22216796875,2886.00830078125
2021-01-28,2381.825439453125,2185.63232421875,2936.65380859375,1452.5906982421875,583.0136108398438,335.2715759277344,7639.51318359375,471.1609802246094,136.33201599121094,2726.73974609375,4451.0615234375,463.0589599609375,546.06201171875,2405.680419921875,275.7480163574219,1744.1719970703125,128.70425415039062,2191.0,12.23305892944336,539.5499267578125,5620.63671875,2938.5771484375,2562.83984375,981.1856079101562,248.042236328125,1393.820556640625,2446.0390625,2523.885009765625,394.0525817871094,145.51756286621094,58.4337272644043,1125.1929931640625,507.1519775390625,5645.6494140625,106.16800689697266,155.6953887939453,282.0853881835937,627.9552001953125,250.00267028808597,33.38578796386719,1925.8623046875,394.9105529785156,859.7169799804688,7876.28466796875,2782.0,1197.805908203125,2473.082275390625,2603.372314453125,798.9002685546875,6547.04541015625,1854.3031005859373,5660.69677734375,613.2681884765625,96.92369842529295,501.3150939941406,250.2261505126953,591.4270629882812,599.5262451171875,953.8372802734376,3503.19091796875,1407.647216796875,1259.693115234375,1570.76123046875,11368.7802734375,1489.2364501953125,453.7847900390625,1198.67822265625,2330.601318359375,307.1023864746094,150.1967315673828,4613.859375,932.8792724609376,126.10497283935548,783.1967163085938,2862.041259765625
2021-01-29,2350.664794921875,2113.74365234375,2871.881591796875,1427.6318359375,563.6265258789062,329.1828308105469,7481.708984375,461.3763732910156,133.29751586914062,2646.570556640625,4337.1708984375,447.4042663574219,533.1127319335938,2346.761474609375,270.7616271972656,1716.2093505859375,125.31204223632812,2159.058349609375,11.95037078857422,525.2999267578125,5504.87060546875,2944.568603515625,2553.84765625,985.9776000976562,245.74835205078125,1363.4764404296875,2395.12158203125,2467.90966796875,381.4938354492188,142.91900634765625,57.24352264404297,1109.7178955078125,499.1590881347656,5509.85107421875,105.56987762451172,149.3380126953125,276.998291015625,612.7050170898438,242.9336853027344,32.91697692871094,1894.605712890625,392.1181335449219,847.7488403320312,7716.5625,2777.0,1136.2681884765625,2403.13623046875,2541.600830078125,811.4830932617188,6441.04443359375,1810.355224609375,5565.10791015625,598.680908203125,91.68457794189452,497.1191711425781,243.646484375,579.3881225585938,589.137939453125,952.4400024414062,3487.23095703125,1416.63525390625,1255.694091796875,1539.30615234375,11069.0732421875,1480.7552490234375,443.2037658691406,1171.2313232421875,2306.65673828125,301.9313659667969,145.86407470703125,4525.27587890625,919.9115600585938,124.37149810791016,763.84619140625,2783.150634765625
2021-02-01,2426.131103515625,2197.61376953125,2908.752197265625,1441.1097412109375,573.2201538085938,333.7003173828125,7378.8359375,468.7647705078125,134.5951385498047,2634.12255859375,4502.83056640625,438.72943115234375,548.4525756835938,2400.687255859375,266.3736267089844,1722.700927734375,127.30746459960938,2186.00927734375,12.228498458862305,535.0499267578125,5702.470703125,2938.07861328125,2637.7763671875,1074.232666015625,249.23907470703125,1363.4764404296875,2431.0634765625,2508.89111328125,382.4408264160156,142.6191864013672,58.332427978515625,1141.167236328125,503.3552551269531,5611.69921875,109.15865325927734,159.8536376953125,287.07275390625,618.9845581054688,245.92056274414065,33.440650939941406,1928.05615234375,398.4013671875,861.5123291015625,7898.2470703125,2828.0,1138.2064208984375,2403.13623046875,2627.283935546875,766.1454467773438,6542.8876953125,1842.81689453125,5647.75244140625,610.2708740234375,94.08417510986328,512.7039794921875,241.5529937744141,582.10107421875,602.7227172851562,971.6044921875,3563.041015625,1453.5867919921875,1279.6883544921875,1562.273681640625,11293.8525390625,1508.694091796875,445.0005187988281,1176.720947265625,2364.52294921875,306.97613525390625,151.3919219970703,4562.6298828125,944.450439453125,125.9256591796875,775.6160888671875,2846.0634765625
