Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,DCC.L,DGE.L,EXPN.L,EZJ.L,FRES.L,GLEN.L,GSK.L,HIK.L,HMSO.L,HSBA.L,IAG.L,IHG.L,III.L,INF.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MNDI.L,NG.L,NXT.L,PRU.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RR.L,SBRY.L,SDR.L,SGE.L,SKG.L,SMIN.L,SN.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2016-11-22,1174.1416015625,2619.341064453125,1955.604736328125,700.0513305664062,447.0337219238281,4194.0849609375,594.1068725585938,943.4525146484376,211.7948760986328,4339.4580078125,595.694091796875,2001.57177734375,453.8365783691406,1425.0408935546875,364.8471374511719,1667.3743896484375,201.77175903320312,11.199462890625,5288.4892578125,6217.14697265625,1997.5616455078125,1449.7208251953125,1062.6591796875,1278.9202880859375,281.3395690917969,1506.8343505859375,1665.0889892578125,2508.208740234375,635.4127197265625,452.3493957519531,41.075592041015625,653.4468994140625,648.37939453125,3171.082763671875,164.8023223876953,3231.333984375,356.6611022949219,1049.7081298828125,233.3678131103516,59.50923538208008,319.3034973144531,1782.51025390625,1021.9247436523438,5018.833984375,1274.4212646484375,1766.3463134765625,774.354248046875,7080.1826171875,1362.04541015625,3050.989501953125,226.3785552978516,236.15310668945312,484.8909301757813,690.4468383789062,1778.8587646484375,1376.609130859375,1086.6192626953125,1454.6273193359375,643.9102172851562,940.8013305664062,2210.84716796875,275.5712280273437,150.3081817626953,3332.418212890625,891.4616088867188,201.7569732666016,1698.864013671875,3007.52294921875
2016-11-23,1202.8148193359375,2596.3896484375,1914.8424072265625,699.053955078125,447.62152099609375,4156.68701171875,601.08447265625,954.4344482421876,212.7922821044922,4339.955078125,590.2199096679688,2036.4945068359373,455.7264709472656,1424.043212890625,358.9231872558594,1673.35400390625,202.17034912109372,11.444397926330566,5261.06396484375,6306.890625,1986.5889892578125,1454.712646484375,1043.7008056640625,1241.0115966796875,284.9254150390625,1508.3372802734375,1667.0845947265625,2485.46826171875,639.3927612304688,449.2586059570313,40.83686065673828,663.4154052734375,642.8889770507812,3173.078125,165.2003936767578,3213.393310546875,358.6535339355469,1028.4808349609375,233.0699005126953,59.39967346191406,317.88214111328125,1775.9407958984375,1010.96533203125,4951.05224609375,1273.59521484375,1734.55615234375,771.8611450195312,7055.267578125,1370.0279541015625,3077.29931640625,229.97998046875,233.66522216796875,482.5205383300781,685.4580078125,1795.7911376953125,1399.552734375,1089.6123046875,1453.632568359375,640.3184204101562,936.8150024414062,2223.793212890625,268.8930969238281,148.12261962890625,3327.089599609375,897.93212890625,199.32257080078125,1694.881103515625,2991.234130859375
2016-11-24,1218.8521728515625,2589.405029296875,1916.83056640625,717.004150390625,450.46337890625,4198.5732421875,606.5670776367188,941.9548950195312,214.88677978515625,4343.43115234375,588.7269287109375,2032.5032958984373,456.4228210449219,1427.036865234375,356.5337219238281,1671.361083984375,201.47283935546875,11.537303924560549,5229.068359375,6182.611328125,1991.07763671875,1459.704833984375,1019.7534790039062,1241.0115966796875,287.46533203125,1526.37744140625,1676.0634765625,2496.838623046875,637.0049438476562,439.1886901855469,41.56563568115234,671.8888549804688,643.3880004882812,3213.98876953125,165.99658203125,3174.723876953125,356.9598083496094,1029.0108642578125,235.15528869628903,59.43952178955078,318.35595703125,1787.984619140625,987.45849609375,4934.107421875,1288.884521484375,1717.6676025390625,781.3346557617188,7013.7412109375,1371.026123046875,3080.77392578125,230.6660614013672,234.85940551757807,481.6741333007813,688.4512939453125,1789.8153076171875,1399.552734375,1102.5838623046875,1443.682861328125,635.3300170898438,939.3065185546876,2199.891845703125,266.4989624023437,146.93045043945312,3325.489990234375,889.470703125,198.1701812744141,1704.8389892578125,3010.09521484375
2016-11-25,1200.870849609375,2602.37744140625,1911.8594970703125,720.4943237304688,448.3075866699219,4289.82568359375,602.0813598632812,938.4606323242188,214.93667602539065,4392.111328125,589.7222290039062,2037.492431640625,452.54345703125,1433.0245361328125,357.28033447265625,1678.3372802734375,203.3660430908203,11.613317489624023,5210.78466796875,6082.89111328125,2010.0308837890625,1474.6815185546875,1017.7579345703124,1229.04052734375,282.1862487792969,1543.91650390625,1675.0657958984375,2501.386962890625,637.8007202148438,438.7898559570313,41.85462951660156,676.3748168945312,642.8889770507812,3211.99365234375,167.1907501220703,3149.803955078125,355.56512451171875,1030.60302734375,236.2476348876953,58.53318405151367,317.5980224609375,1784.6995849609375,1002.1090087890624,4935.10400390625,1281.0330810546875,1693.824951171875,784.8251953125,7077.06787109375,1378.0107421875,3090.702392578125,228.43655395507807,234.85940551757807,485.7374572753906,688.9501953125,1788.819091796875,1397.557373046875,1114.557861328125,1456.6171875,633.0353393554688,933.8251342773438,2201.8837890625,267.3810729980469,146.2350311279297,3381.980712890625,890.4661865234375,197.72296142578125,1715.79296875,3027.242431640625
2016-11-28,1202.3284912109375,2566.455322265625,1904.900146484375,726.477783203125,443.800048828125,4236.96923828125,601.08447265625,935.4656372070312,211.34605407714844,4419.43310546875,594.6986694335938,2060.44189453125,449.8577270507813,1405.08251953125,348.7677917480469,1676.343994140625,208.6469268798828,11.655550003051758,5165.07568359375,6062.947265625,2005.0430908203125,1487.6607666015625,1002.7908935546876,1274.9295654296875,283.8795471191406,1530.8876953125,1671.0753173828125,2496.838623046875,629.6417236328125,435.599365234375,41.502811431884766,673.38427734375,644.8854370117188,3242.92626953125,165.89703369140625,3135.849365234375,354.7680969238281,1031.13427734375,235.25457763671875,57.62684631347656,312.67108154296875,1786.8902587890625,1009.2716064453124,4804.5234375,1275.2476806640625,1679.91650390625,772.3596801757812,6999.20703125,1373.021728515625,3117.509033203125,230.6660614013672,231.67486572265625,477.2721862792969,678.4738159179688,1776.866943359375,1387.5819091796875,1114.557861328125,1487.4610595703125,628.5457153320312,935.8182373046876,2221.80126953125,264.1049499511719,145.44029235839844,3353.73486328125,903.4075317382812,194.0457763671875,1698.864013671875,2999.80712890625
2016-11-29,1170.739501953125,2551.487548828125,1887.9986572265625,698.0567626953125,442.6241149902344,4234.47607421875,599.5892333984375,945.9483032226562,213.68994140625,4425.3916015625,597.1868896484375,2055.452880859375,440.208984375,1405.08251953125,352.8000183105469,1669.36767578125,209.0455322265625,11.756901741027832,5096.51318359375,6082.89111328125,2006.539306640625,1497.6453857421875,1008.7777709960938,1231.0357666015625,280.2439270019531,1511.3443603515625,1665.0889892578125,2501.386962890625,628.646728515625,443.1767578125,41.79181289672852,670.3934936523438,652.8717651367188,3242.92626953125,170.3753662109375,3130.865478515625,356.16290283203125,1034.8489990234375,237.2407073974609,57.47746658325195,311.0602722167969,1787.984619140625,1007.2096557617188,4923.1416015625,1278.140625,1712.700439453125,776.3486328125,7021.0068359375,1376.01513671875,3045.031982421875,230.83746337890625,232.07293701171875,472.023681640625,673.9838256835938,1792.802978515625,1396.5596923828125,1125.5338134765625,1484.476318359375,629.8427734375,943.791259765625,2211.842529296875,263.1599426269531,148.42063903808594,3336.148193359375,898.927978515625,193.0519561767578,1712.8055419921875,2985.232666015625
2016-11-30,1151.7864990234375,2544.502685546875,1889.9873046875,687.0872192382812,438.0185546875,4138.2373046875,598.592529296875,953.4359741210938,215.38546752929688,4364.78955078125,588.7269287109375,2055.452880859375,457.0196533203125,1426.0390625,355.5379638671875,1694.283447265625,209.5437164306641,11.579535484313965,4794.83642578125,6112.80810546875,2000.0552978515625,1507.6297607421875,987.8238525390624,1197.1171875,278.20196533203125,1498.81689453125,1697.0142822265625,2476.37255859375,632.0297241210938,432.2095336914063,41.226375579833984,686.842041015625,648.37939453125,3281.8408203125,167.1907501220703,3119.900634765625,351.7793884277344,1029.5418701171875,234.1622314453125,57.63680648803711,311.4394226074219,1787.984619140625,991.0397338867188,4888.2548828125,1279.793701171875,1688.85791015625,793.3015747070312,7021.0068359375,1372.0233154296875,2968.58349609375,232.03797912597656,229.883544921875,468.1296691894531,656.0242309570312,1809.73486328125,1407.53271484375,1124.5361328125,1467.561767578125,639.6199951171875,936.8150024414062,2177.982421875,262.9709777832031,147.32778930664062,3406.49560546875,879.0179443359375,192.7040863037109,1701.8516845703125,2969.801025390625
2016-12-01,1173.655517578125,2535.52197265625,1836.299560546875,703.5414428710938,436.9406433105469,4068.92626953125,596.1004638671875,948.9432983398438,218.4773712158203,4281.33984375,576.782958984375,2028.51220703125,467.5635681152344,1407.0782470703125,351.65509033203125,1627.5086669921875,208.5473175048828,11.224799156188965,4890.82421875,5903.3984375,1961.6502685546875,1497.6453857421875,994.3095703125,1179.1605224609375,282.43524169921875,1471.7568359375,1668.08251953125,2421.79736328125,627.1541748046875,421.2493896484375,40.94993591308594,681.3590087890625,636.4000854492188,3249.910888671875,169.18115234375,3093.984619140625,346.5988464355469,996.7307739257812,240.6170654296875,57.3579330444336,308.8810729980469,1732.144287109375,975.3037719726562,4861.341796875,1304.174560546875,1692.831298828125,780.3375244140625,6880.85693359375,1345.08251953125,3006.311767578125,233.9245147705078,227.59469604492188,471.5157775878906,647.0443725585938,1787.8228759765625,1426.4862060546875,1103.5819091796875,1446.6676025390625,648.4995727539062,939.3065185546876,2104.601806640625,259.00177001953125,148.71865844726562,3300.9755859375,868.5653076171875,189.822021484375,1653.0565185546875,2928.648681640625
2016-12-02,1175.1134033203125,2570.446533203125,1829.340576171875,691.5748291015625,434.4908447265625,4043.994140625,592.1129760742188,948.4442749023438,212.39334106445312,4318.59375,584.2478637695312,2029.510009765625,464.1814880371094,1409.0740966796875,357.031494140625,1626.5120849609375,207.4512939453125,11.326151847839355,4954.81640625,5913.3681640625,1952.6728515625,1509.626708984375,968.3667602539062,1195.1220703125,276.8074645996094,1470.2532958984375,1662.096435546875,2433.166259765625,623.9703369140625,414.8668518066406,40.43476867675781,676.873291015625,640.892333984375,3239.933349609375,166.09605407714844,3072.055908203125,348.9898376464844,1018.4912719726562,240.81570434570312,57.3181037902832,310.01806640625,1736.5240478515625,979.7531127929688,4850.3759765625,1290.12451171875,1684.8839111328125,785.3235473632812,6844.5224609375,1334.106201171875,2983.97265625,226.72149658203125,227.8932037353516,472.1929626464844,638.0648193359375,1748.97900390625,1413.5179443359375,1114.557861328125,1470.5467529296875,643.510986328125,936.3167114257812,2118.546142578125,260.51385498046875,149.8114471435547,3315.36328125,878.5203857421875,190.2195587158203,1663.0146484375,2923.5048828125
2016-12-05,1208.1607666015625,2574.43798828125,1825.3636474609373,725.48046875,441.2522277832031,4022.552001953125,598.0941162109375,935.9647216796876,216.2332763671875,4314.62060546875,583.252685546875,2034.4990234375,462.4905090332031,1435.020263671875,350.6097106933594,1620.5322265625,205.65774536132807,11.165678024291992,4931.9619140625,5968.2138671875,1956.1640625,1491.65478515625,972.3579711914062,1147.2373046875,289.1089172363281,1462.23583984375,1666.087158203125,2412.70068359375,623.5722045898438,412.872314453125,40.74890899658203,684.8480834960938,640.3933715820312,3197.026611328125,168.28546142578125,3083.02001953125,348.1928100585937,1007.3455810546876,240.02127075195312,58.01527786254883,314.2817687988281,1734.334228515625,967.4901123046876,4838.41455078125,1309.1334228515625,1692.831298828125,782.83056640625,6802.998046875,1333.1077880859375,3032.125244140625,228.2650451660156,230.3811492919922,472.5315856933594,631.5791625976562,1761.927001953125,1419.503662109375,1104.57958984375,1462.5869140625,641.316162109375,936.8150024414062,2065.7568359375,267.63299560546875,150.606201171875,3327.6220703125,854.62841796875,189.3250732421875,1678.9481201171875,2921.79052734375
2016-12-06,1161.0198974609375,2569.4482421875,1832.3228759765625,725.48046875,455.0688781738281,4026.541748046875,596.5988159179688,942.9532470703124,226.1572723388672,4291.771484375,594.200927734375,2021.527587890625,461.0978698730469,1436.01806640625,350.5599060058594,1620.5322265625,208.94586181640625,11.131895065307615,5055.375,5868.494140625,1951.67529296875,1485.664306640625,978.3447265625,1141.25146484375,284.8756103515625,1463.2379150390625,1688.0355224609375,2428.618896484375,650.7357788085938,413.7698974609375,40.42220306396485,687.8388061523438,649.3776245117188,3167.092041015625,174.15707397460938,2994.30712890625,345.5028991699219,1028.5755615234375,235.35389709472656,59.24032211303711,312.955322265625,1745.2833251953125,978.7764892578124,4914.1708984375,1309.5465087890625,1698.7919921875,790.80859375,6801.95751953125,1333.1077880859375,2999.858154296875,226.89300537109372,233.36666870117188,474.0553283691406,618.109619140625,1752.962890625,1403.54296875,1115.555419921875,1485.470947265625,655.4833374023438,940.3031005859376,2064.76025390625,265.302001953125,151.698974609375,3341.477783203125,865.0811157226562,190.5673675537109,1686.9141845703125,2923.5048828125
2016-12-07,1216.9080810546875,2610.3603515625,1847.23583984375,738.4443359375,472.5113220214844,3996.12451171875,602.5797119140625,956.4310913085938,234.2360992431641,4324.05908203125,613.1121826171875,2002.5694580078125,470.9455871582031,1474.9375,355.7371520996094,1633.4886474609375,212.3336334228516,11.258585929870604,5155.93408203125,5868.494140625,1995.5667724609373,1502.637451171875,991.316162109375,1170.18212890625,295.5833435058594,1465.74365234375,1698.01220703125,2467.276611328125,676.2081909179688,433.5159301757813,41.95515060424805,698.3059692382812,648.8785400390625,3200.02001953125,176.64500427246094,3045.142578125,345.80181884765625,1058.296630859375,242.7025146484375,62.019073486328125,320.6299133300781,1792.3646240234375,987.0242919921876,4942.08056640625,1362.853759765625,1717.6676025390625,782.3320922851562,6787.423828125,1330.11474609375,3198.425048828125,230.6660614013672,239.4372100830078,488.9542541503906,627.0892944335938,1795.7911376953125,1438.456787109375,1114.557861328125,1490.4459228515625,683.1195068359375,981.66259765625,2077.709228515625,268.7670288085937,151.99700927734375,3315.897216796875,873.5427856445312,193.9463653564453,1640.1107177734375,3009.23779296875
2016-12-08,1210.1043701171875,2657.259521484375,1829.340576171875,749.9124145507812,477.7047119140625,4104.828125,602.0813598632812,936.5274658203124,238.37522888183597,4344.42626953125,614.107421875,2023.5233154296875,474.4767761230469,1476.9334716796875,355.4882202148437,1658.404296875,214.22679138183597,11.435954093933104,4436.48046875,5883.4521484375,2023.9964599609373,1493.651611328125,1004.7864990234376,1165.1939697265625,301.46014404296875,1463.2379150390625,1697.0142822265625,2483.195068359375,672.7255859375,447.27838134765625,42.06824493408203,696.89013671875,649.3776245117188,3244.921630859375,180.625732421875,3029.1943359375,345.4033508300781,1067.8499755859375,243.69554138183597,62.517066955566406,320.8194274902344,1790.1744384765625,994.7295532226562,4854.88232421875,1345.0849609375,1725.615478515625,778.3430786132812,6781.19482421875,1353.0648193359375,3270.40625,225.86404418945312,242.22366333007807,494.8798828125,626.091552734375,1869.495361328125,1436.4617919921875,1127.529296875,1475.5213623046875,664.8616943359375,984.1539916992188,2093.644775390625,273.3662109375,154.8780059814453,3295.646484375,875.5337524414062,197.12669372558597,1715.79296875,2992.9482421875
