Date,AAL.L,ABF.L,ADM.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BKG.L,BLND.L,BME.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CPG.L,CPI.L,DCC.L,DGE.L,EXPN.L,FRES.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HSBA.L,IAG.L,IHG.L,III.L,INF.L,ITRK.L,JD.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MNDI.L,MRO.L,NG.L,NXT.L,OCDO.L,PNN.L,PRU.L,PSH.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2020-08-07,1838.0328369140625,1881.101318359375,2510.29833984375,1075.1697998046875,557.2306518554688,288.2120666503906,8458.81640625,506.9023132324219,104.41004943847656,2480.326904296875,4666.37841796875,368.0706481933594,483.6961059570313,2303.350830078125,286.3777770996094,1318.2406005859375,105.50756072998048,2115.138671875,10.728433609008787,555.7498779296875,6959.28125,2562.73388671875,2763.568603515625,1291.87451171875,174.0983428955078,1562.14208984375,2389.011474609375,2248.843505859375,324.48162841796875,185.5448455810547,49.51989364624024,923.769775390625,395.1509094238281,5801.1044921875,131.78529357910156,2331.58837890625,262.9339294433594,578.0177001953125,226.16004943847656,27.715087890625,1629.2666015625,235.7363128662109,901.4507446289062,5704.0673828125,2240.0,1591.4049072265625,1167.2392578125,1898.3448486328125,2397.182861328125,589.3328857421875,7874.40576171875,1700.984619140625,4649.5380859375,630.0537109375,86.66962432861328,545.8719482421875,188.7711639404297,504.38385009765625,764.3878784179688,982.115234375,2686.232666015625,1440.233642578125,902.2672729492188,1578.6346435546875,10579.2392578125,1325.8887939453125,400.1810607910156,994.0745849609376,2460.880126953125,282.08984375,119.0219268798828,4843.97119140625,900.4234619140625,116.26648712158205,610.146240234375,2375.713623046875
2020-08-10,1853.416259765625,1906.063232421875,2526.237060546875,1093.6383056640625,553.6331176757812,286.6414489746094,8368.935546875,516.4853515625,106.44635772705078,2532.093994140625,4636.3603515625,369.46630859375,481.2084045410156,2314.332763671875,294.5030822753906,1348.699951171875,107.6027374267578,2086.19140625,10.737549781799316,562.9498901367188,6907.39111328125,2563.732177734375,2726.60107421875,1290.8758544921875,171.3656005859375,1560.1329345703125,2293.171142578125,2208.8642578125,329.9137268066406,201.5857696533203,50.65944290161133,915.3845825195312,400.14654541015625,5671.3037109375,136.82321166992188,2345.55615234375,263.03369140625,583.19970703125,231.9334716796875,28.343509674072266,1627.6220703125,250.6298065185547,899.2570190429688,5789.91748046875,2201.0,1594.3935546875,1193.8885498046875,1900.3431396484373,2375.27197265625,607.9053955078125,7791.27685546875,1690.9964599609375,4672.9375,620.8616943359375,91.16437530517578,538.8787841796875,189.31918334960935,500.1452941894531,744.2145385742188,971.9346923828124,2632.387451171875,1443.7281494140625,878.7733154296875,1560.66162109375,10439.380859375,1317.9075927734375,405.870849609375,1000.5621948242188,2473.84814453125,284.2335205078125,117.62751770019533,4823.69482421875,902.2185668945312,116.14698791503906,618.9224853515625,2443.6201171875
2020-08-11,1873.473388671875,1990.9324951171875,2515.27978515625,1110.6094970703125,564.22607421875,294.7891540527344,8438.8447265625,526.2679443359375,111.55706024169922,2583.36328125,4669.48388671875,378.13970947265625,480.0143432617188,2370.244384765625,306.6161499023437,1405.623779296875,108.8000030517578,2148.078369140625,11.307485580444336,578.2498779296875,6955.29052734375,2565.729248046875,2765.566650390625,1204.51806640625,177.40956115722656,1583.034423828125,2243.255126953125,2239.848388671875,344.8644714355469,218.57614135742188,53.09048461914063,932.9536743164062,423.126220703125,5801.1044921875,141.2613983154297,2370.498291015625,269.8165283203125,583.5985107421875,237.30877685546875,29.380889892578125,1665.996337890625,257.37847900390625,885.2965087890625,6007.5380859375,2238.0,1566.74951171875,1227.8057861328125,1910.3345947265625,2393.19921875,621.8849487304688,7697.75732421875,1723.9576416015625,4709.7802734375,616.265625,93.90930938720705,526.6905517578125,189.4686584472656,517.099365234375,748.0093994140625,953.170654296875,2720.13427734375,1483.665283203125,884.7718505859375,1574.640869140625,10649.1689453125,1312.919677734375,427.332275390625,1021.521484375,2458.885986328125,283.3507995605469,116.78094482421876,4786.34326171875,888.85400390625,118.29823303222656,642.4586181640625,2569.446044921875
2020-08-12,1910.4713134765625,1987.9368896484373,2697.57470703125,1123.0882568359375,572.6204833984375,298.1268005371094,8687.5146484375,535.0524291992188,111.29752349853516,2618.703857421875,4747.11865234375,372.556884765625,484.9896545410156,2413.176513671875,310.3548278808594,1432.088623046875,109.94735717773438,2142.089111328125,11.229976654052734,593.8499145507812,7043.103515625,2659.0732421875,2862.481689453125,1237.464111328125,178.98538208007812,1618.793701171875,2337.097900390625,2284.82568359375,355.92803955078125,213.17921447753903,52.93854904174805,949.32470703125,429.1209106445313,5974.83837890625,141.38128662109375,2412.401123046875,272.609375,571.8388671875,235.81564331054688,29.61529922485352,1695.599365234375,255.98216247558597,921.5938720703124,6007.5380859375,2300.0,1643.7047119140625,1248.640625,1884.357421875,2455.9423828125,630.8717041015625,7797.51123046875,1774.3978271484375,4817.31787109375,629.0546264648438,93.12014770507812,539.0785522460938,193.90272521972656,524.55908203125,760.1932983398438,969.5393676757812,2771.984130859375,1482.6666259765625,900.2677612304688,1609.0889892578125,10749.068359375,1322.8958740234375,437.7135925292969,1025.014404296875,2582.57763671875,291.1692199707031,120.11751556396484,4897.33203125,930.3444213867188,119.3140869140625,643.0570068359375,2516.51904296875
2020-08-13,1867.4366455078125,1979.9490966796875,2678.648193359375,1106.1173095703125,573.2201538085938,287.6799011230469,8531.40625,533.2556762695312,107.88375091552734,2572.909912109375,4744.01416015625,369.8651123046875,489.1688232421875,2441.13232421875,300.324462890625,1419.6051025390625,107.75241088867188,2136.100341796875,11.06583309173584,568.9498901367188,7023.14599609375,2646.017578125,2826.51318359375,1256.4324951171875,175.67417907714844,1577.037841796875,2324.119384765625,2298.81787109375,342.62188720703125,204.2842559814453,53.5083236694336,924.5684204101562,421.8273315429688,5950.8740234375,140.0618438720703,2375.487060546875,272.3101806640625,565.8594970703125,227.5014495849609,29.10658073425293,1687.3765869140625,247.4881591796875,901.6502685546876,5891.73974609375,2340.0,1604.8533935546875,1228.77490234375,1878.3623046875,2503.74658203125,624.5403442382812,7801.66943359375,1764.9090576171875,4732.18359375,628.8546752929688,91.85064697265624,537.8798217773438,190.66433715820312,517.777587890625,759.7938232421875,961.4234008789062,2692.9990234375,1466.192626953125,906.2661743164062,1589.6181640625,10938.875,1316.4110107421875,422.6407470703125,1014.035888671875,2535.695068359375,288.6471252441406,119.0219268798828,4890.927734375,905.8092041015624,119.75231170654295,630.09228515625,2523.509765625
2020-08-14,1829.659423828125,1956.984619140625,2677.65234375,1103.1221923828125,555.4319458007812,283.5561218261719,8370.603515625,533.0560302734375,109.00170135498048,2514.672607421875,4756.43505859375,365.1794738769531,489.2684020996094,2380.228271484375,291.79937744140625,1397.634521484375,107.8022918701172,2105.15673828125,10.89713191986084,554.39990234375,6841.5302734375,2599.0888671875,2771.561767578125,1220.990966796875,170.06900024414062,1542.8809814453125,2336.099853515625,2241.84716796875,340.1799011230469,194.43983459472656,52.52071762084961,921.1744384765624,411.7362365722656,5837.0498046875,138.6224365234375,2331.58837890625,267.5223083496094,568.0518188476562,225.11192321777344,28.87716484069824,1676.412353515625,239.110595703125,889.2852783203125,5939.65673828125,2331.0,1580.94482421875,1217.630615234375,1906.3380126953125,2523.664794921875,609.361328125,7728.9306640625,1719.96240234375,4685.38427734375,620.8616943359375,88.21366882324219,529.088134765625,189.1697235107422,512.86083984375,739.8202514648438,961.4234008789062,2716.93701171875,1418.2681884765625,884.7718505859375,1564.15625,10654.1630859375,1298.9521484375,421.1434020996094,1002.55810546875,2501.779296875,287.5121154785156,119.76891326904295,4846.10791015625,892.0454711914062,118.19862365722656,623.310546875,2440.624267578125
2020-08-17,1881.4571533203125,2006.90771484375,2701.55908203125,1120.592529296875,559.2293090820312,283.85076904296875,8568.359375,534.653076171875,107.74398803710938,2562.457275390625,4815.4375,358.1012268066406,492.0545043945313,2396.203125,287.71124267578125,1423.5999755859375,105.7569808959961,2142.089111328125,10.860657691955566,538.1998901367188,6921.36181640625,2631.040283203125,2793.541748046875,1249.4443359375,173.53982543945312,1562.7724609375,2386.015869140625,2268.83349609375,337.5386047363281,184.14566040039065,51.254539489746094,930.358154296875,408.3392639160156,5892.9638671875,138.54249572753906,2374.489013671875,273.30767822265625,562.271728515625,224.2158660888672,28.552976608276367,1704.3709716796875,243.0666961669922,887.0914306640625,5975.5947265625,2382.0,1569.73779296875,1209.8780517578125,1928.3187255859373,2602.34228515625,607.364013671875,7766.33837890625,1734.4451904296875,4763.05078125,630.85302734375,88.2822494506836,535.4821166992188,189.31918334960935,513.878173828125,744.0147094726562,971.0055541992188,2768.8017578125,1434.2430419921875,896.7686767578125,1564.15625,10679.138671875,1300.947265625,416.0525512695313,1002.55810546875,2483.823486328125,288.6471252441406,120.86451721191406,4855.7119140625,881.8724365234375,117.24252319335938,618.5235595703125,2381.705810546875
2020-08-18,1865.8787841796875,1968.966064453125,2687.61328125,1130.5755615234375,553.2333374023438,281.7888488769531,8481.466796875,537.847412109375,107.92367553710938,2538.56494140625,4863.05419921875,350.8236083984375,486.5817260742188,2396.203125,282.5263366699219,1423.1007080078125,103.66180419921876,2102.162109375,10.742112159729004,430.4999084472656,6839.53564453125,2626.048095703125,2792.54345703125,1268.912353515625,171.5650634765625,1546.095947265625,2379.0283203125,2260.83740234375,331.3091125488281,186.6942138671875,49.87441253662109,920.3759155273438,402.644287109375,5851.02783203125,136.06353759765625,2338.572509765625,274.903564453125,553.10302734375,224.51454162597656,28.114086151123047,1674.7677001953125,237.7143402099609,868.7433471679688,6039.48193359375,2398.0,1533.1278076171875,1200.1873779296875,1918.3275146484373,2810.490234375,589.5885009765625,7801.66943359375,1719.4630126953125,4776.9912109375,613.8677368164062,87.49308776855469,527.0901489257812,188.2231292724609,510.3177185058594,744.6139526367188,949.4454956054688,2730.900634765625,1433.2445068359375,898.7681884765625,1526.7125244140625,10664.1533203125,1287.47900390625,406.7691650390625,995.2723999023438,2428.960205078125,287.89044189453125,121.11351013183594,4811.95654296875,860.728271484375,116.72461700439452,605.9576416015625,2331.774658203125
2020-08-19,1894.1143798828125,2005.9091796875,2669.682861328125,1146.5484619140625,549.6357421875,281.88702392578125,8597.3232421875,537.0489501953125,109.99989318847656,2553.99560546875,4805.08642578125,348.9293518066406,486.5817260742188,2410.18115234375,282.87530517578125,1419.6051025390625,105.25811767578124,2095.175048828125,10.482221603393556,495.4498901367188,6893.42041015625,2638.030029296875,2785.54931640625,1250.4425048828125,175.65420532226562,1557.949951171875,2384.01953125,2247.84423828125,334.4986572265625,200.8861846923828,50.596134185791016,925.9659423828124,407.4400634765625,5843.03955078125,135.82362365722656,2386.46142578125,276.7987976074219,546.1270751953125,226.0079803466797,28.587888717651367,1680.7978515625,242.9503326416016,870.5382690429688,6077.41650390625,2388.0,1539.105224609375,1211.816162109375,1930.3172607421875,2740.775390625,592.9837646484375,7934.6748046875,1737.94091796875,4770.02197265625,611.8694458007812,89.99787139892578,528.4888916015625,186.67872619628903,510.65673828125,738.4222412109375,942.8577270507812,2750.848388671875,1432.7451171875,912.2646484375,1532.204345703125,10654.1630859375,1291.9683837890625,412.558837890625,1002.0592651367188,2418.985107421875,287.1338195800781,121.96012115478516,4867.45166015625,855.7413330078125,117.8998565673828,611.741943359375,2368.7236328125
2020-08-20,1813.1474609375,1992.92919921875,2649.759765625,1082.6572265625,552.8335571289062,274.9159851074219,8538.3974609375,527.6654663085938,107.38465118408205,2516.16552734375,4696.4453125,354.9110107421875,479.2712707519531,2406.18798828125,275.945556640625,1404.1259765625,102.86363220214844,2052.25341796875,10.304401397705078,452.2499084472656,6751.7197265625,2593.097412109375,2777.55615234375,1242.955078125,168.3336639404297,1532.0311279296875,2381.144287109375,2221.857666015625,327.8705139160156,190.39212036132807,51.02663040161133,909.3951416015624,402.4444885253906,5853.0244140625,135.5037384033203,2312.632568359375,272.4099426269531,556.0928344726562,221.82635498046875,28.064210891723636,1591.35888671875,232.7110137939453,872.1337280273438,5991.56640625,2418.0,1515.1966552734375,1184.2386474609375,1928.4185791015625,2680.0244140625,579.6022338867188,7846.060546875,1719.4630126953125,4644.06103515625,617.0648803710938,87.83622741699219,527.6896362304688,187.7248992919922,496.8121948242188,736.82421875,959.8262329101562,2683.02490234375,1416.7706298828125,911.764892578125,1521.719970703125,10494.3251953125,1289.9730224609375,396.6873474121094,985.4912719726562,2405.01953125,283.72906494140625,119.47012329101562,4846.10791015625,846.7650146484375,114.89210510253906,602.9657592773438,2328.779052734375
2020-08-21,1809.0577392578125,1996.923095703125,2655.737060546875,1078.663818359375,555.83154296875,275.9959716796875,8426.53515625,529.0630493164062,107.80387878417967,2514.672607421875,4687.12646484375,359.4969177246094,481.4606018066406,2401.195068359375,272.5555114746094,1402.6279296875,101.5666275024414,2014.3223876953125,10.609889030456545,454.3499145507813,6621.9951171875,2586.1083984375,2761.570068359375,1231.97314453125,167.89479064941406,1522.18603515625,2345.202392578125,2209.86328125,327.0730285644531,193.0905914306641,54.19205093383789,908.197265625,405.8414916992188,5841.0439453125,136.90318298339844,2289.685791015625,272.80889892578125,568.8489990234375,222.8219757080078,28.029300689697266,1602.8746337890625,230.33743286132807,874.1280517578125,5949.6396484375,2428.0,1506.978271484375,1177.4549560546875,1940.4083251953125,2666.081787109375,577.4052734375,7833.5908203125,1725.955322265625,4665.9677734375,619.2630004882812,88.6253890991211,529.088134765625,187.5754547119141,495.11663818359375,734.0280151367188,966.0147705078124,2675.045654296875,1420.264892578125,930.2599487304688,1485.773681640625,10434.38671875,1293.9637451171875,391.1971435546875,985.8905029296876,2397.03955078125,286.8816833496094,120.16732025146484,4811.95654296875,847.1641235351562,113.79655456542967,600.771728515625,2394.6875
