Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,DCC.L,DGE.L,EXPN.L,EZJ.L,FRES.L,GLEN.L,GSK.L,HLMA.L,HMSO.L,HSBA.L,IAG.L,IHG.L,III.L,INF.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MNDI.L,NG.L,NXT.L,PRU.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SMIN.L,SMT.L,SN.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2017-03-21,1212.048583984375,2655.522705078125,1980.4598388671875,827.1973266601562,528.1700439453125,4814.9443359375,642.4528198242188,229.4184417724609,5155.27294921875,3283.083251953125,613.1835327148438,2359.779052734375,456.0068054199219,1753.484375,325.662353515625,1999.2545166015625,214.3264617919922,12.967708587646484,5178.78857421875,7020.25634765625,2314.019287109375,1623.5565185546875,1007.3384399414062,1549.2691650390625,328.8022766113281,1684.51806640625,971.6982421875,2649.83642578125,651.8908081054688,558.9732666015625,48.639835357666016,715.3342895507812,638.895751953125,3871.5546875,207.6947326660156,2993.310791015625,344.3073425292969,1114.6497802734375,249.75315856933597,68.46300506591797,312.76580810546875,2110.982421875,1085.7808837890625,3853.00244140625,1453.7657470703125,2088.468994140625,654.1871948242188,7722.796875,1534.6708984375,3304.0908203125,266.852294921875,243.06951904296875,271.7801208496094,529.7568969726562,628.178955078125,460.2138671875,2153.35546875,1568.1373291015625,362.8271179199219,1234.29541015625,1493.6934814453125,729.8114013671875,1053.41845703125,2394.44482421875,238.0220642089844,192.13214111328125,4294.19970703125,1003.5999755859376,208.30728149414065,1662.0189208984375,3355.6005859375
2017-03-22,1229.5440673828125,2599.6376953125,1971.5120849609373,841.158447265625,523.2705078125,4840.88232421875,642.4528198242188,223.9822235107422,5147.32421875,3315.149169921875,601.2383422851562,2306.896484375,452.4251708984375,1744.50244140625,329.1474914550781,2001.247802734375,212.53292846679688,12.762004852294922,5123.9384765625,7005.29833984375,2304.541748046875,1621.559326171875,983.3781127929688,1565.230712890625,328.25445556640625,1674.4937744140625,958.708984375,2602.0712890625,644.4266357421875,543.5154418945312,47.559226989746094,709.3524169921875,628.4138793945312,3862.574951171875,206.99807739257807,2948.455322265625,326.7732238769531,1104.034423828125,249.1573181152344,67.35748291015625,307.8388061523437,2113.1728515625,1086.8662109375,3872.93994140625,1426.9056396484375,2085.488525390625,643.7161254882812,7713.4541015625,1541.656005859375,3286.711181640625,259.9923400878906,242.2706451416016,265.3114929199219,525.3548583984375,614.2083129882812,461.5099182128906,2166.303955078125,1548.1866455078125,360.2283935546875,1235.29345703125,1490.708251953125,723.326416015625,1037.472900390625,2402.4130859375,234.178955078125,192.62887573242188,4291.0029296875,1003.5999755859376,206.36929321289065,1639.1153564453125,3340.168212890625
2017-03-23,1218.3662109375,2636.5615234375,1980.4598388671875,834.177978515625,519.8408203125,4947.625,650.4271850585938,223.3338928222656,5141.36279296875,3373.073486328125,604.2246704101562,2327.849609375,454.26568603515625,1764.4625244140625,329.9938659667969,2024.1705322265625,214.4261016845703,12.847716331481934,5110.2255859375,6950.45166015625,2295.56298828125,1625.5533447265625,1006.3401489257812,1532.3099365234375,320.3854064941406,1679.0042724609375,1021.157470703125,2622.5419921875,644.1277465820312,545.0113525390625,48.25031661987305,716.3312377929688,634.4035034179688,3898.49609375,207.4956512451172,2960.416748046875,321.4931030273437,1117.834228515625,247.4691619873047,68.15425872802734,319.5876770019531,2125.216796875,1093.377685546875,4185.96484375,1423.1866455078125,2098.404296875,633.2451782226562,7613.7919921875,1551.6337890625,3244.00732421875,258.6203918457031,243.76858520507807,265.3114929199219,526.2013549804688,628.178955078125,453.1451110839844,2146.384033203125,1552.1763916015625,357.6296691894531,1249.2626953125,1495.6839599609375,725.6211547851562,1052.421875,2411.37744140625,238.9041290283203,193.52296447753903,4280.87646484375,1003.5999755859376,209.6986389160156,1663.0146484375,3365.031005859375
2017-03-24,1217.3941650390625,2624.585693359375,1966.541015625,828.194580078125,514.9412231445312,4916.69970703125,650.9257202148438,226.37615966796875,5243.71240234375,3322.389404296875,604.2246704101562,2316.874267578125,449.54010009765625,1758.474365234375,324.2683410644531,2016.1973876953125,215.6217498779297,12.950563430786133,5261.06396484375,6955.4375,2302.546630859375,1633.541015625,1003.3450927734376,1541.2884521484375,318.4929504394531,1674.4937744140625,1011.165771484375,2604.345947265625,645.22265625,548.0032348632812,48.35083770751953,707.85693359375,645.8836669921875,3912.4658203125,208.59039306640625,2913.568603515625,322.58892822265625,1119.957763671875,246.7740173339844,67.77580261230469,314.4712829589844,2112.07763671875,1099.3466796875,4117.18017578125,1422.3599853515625,2069.591064453125,641.7217407226562,7625.2109375,1556.62353515625,3235.0693359375,259.477783203125,243.6687469482422,265.3114929199219,522.1381225585938,629.67578125,455.4386901855469,2078.655517578125,1597.0662841796875,359.2289123535156,1240.2822265625,1496.6790771484375,724.9227905273438,1057.4051513671875,2401.417236328125,240.66818237304688,190.24459838867188,4283.0078125,999.6174926757812,210.29495239257807,1677.9517822265625,3352.171142578125
2017-03-27,1169.7674560546875,2644.545166015625,1967.5350341796875,789.302734375,512.4913940429688,4962.5908203125,638.9638671875,223.63311767578125,5195.02099609375,3342.04248046875,599.7451171875,2325.853759765625,445.6101684570313,1734.5223388671875,323.5712585449219,2010.21728515625,218.71066284179688,12.924853324890137,5210.78466796875,6995.32568359375,2292.071533203125,1629.5472412109375,1010.3335571289062,1546.276611328125,304.5479736328125,1681.0091552734375,1020.1581420898438,2588.423583984375,643.3317260742188,532.0467529296875,48.049278259277344,699.382568359375,642.3897094726562,3916.457275390625,208.4908905029297,2932.508056640625,324.9799499511719,1108.2803955078125,245.6816864013672,66.68022155761719,317.02947998046875,2106.603271484375,1101.5169677734375,4218.86376953125,1405.830322265625,2074.5595703125,631.2506713867188,7631.439453125,1557.6212158203125,3110.43359375,254.84735107421875,244.7672119140625,266.5057067871094,518.413330078125,633.16845703125,454.6409301757813,2071.683349609375,1590.0831298828125,355.9303894042969,1240.2822265625,1497.6739501953125,721.3309326171875,1053.41845703125,2405.40087890625,239.3451232910156,191.4367218017578,4282.47412109375,1001.608642578125,209.30111694335935,1685.9183349609375,3376.176513671875
2017-03-28,1184.34716796875,2606.62353515625,1983.4427490234373,796.2833862304688,522.2906494140625,4948.1240234375,648.4337158203125,227.52322387695312,5186.07861328125,3335.8359375,596.2612915039062,2325.853759765625,451.1318054199219,1731.528076171875,322.874267578125,2018.1905517578125,217.5149383544922,12.916281700134276,5055.375,7045.185546875,2300.55078125,1621.559326171875,996.8557739257812,1558.247802734375,310.37506103515625,1681.0091552734375,1021.157470703125,2556.580078125,652.1893920898438,533.5427856445312,48.28801727294922,698.3855590820312,640.892333984375,3919.45068359375,208.9884490966797,2998.294677734375,323.9837341308594,1100.849365234375,245.78099060058597,66.5208740234375,314.8501892089844,2119.741455078125,1099.8890380859375,4275.685546875,1423.5997314453125,2083.5009765625,654.1871948242188,7599.25830078125,1560.61474609375,3197.8271484375,258.4488830566406,245.3664093017578,263.6197509765625,521.6301879882812,634.166259765625,454.2420043945313,2123.4755859375,1591.080810546875,363.4268798828125,1237.2889404296875,1488.7176513671875,750.6630859375,1052.421875,2392.453369140625,240.92010498046875,191.73480224609372,4270.21875,995.6348876953124,208.9532623291016,1695.8768310546875,3371.89013671875
2017-03-29,1199.8988037109375,2643.546875,1965.5465087890625,813.73486328125,520.3307495117188,4942.6376953125,645.443115234375,226.72531127929688,5284.45263671875,3279.98046875,599.2474975585938,2323.858642578125,458.84228515625,1741.508544921875,320.9823608398437,2026.163818359375,218.5113677978516,12.941994667053224,5046.2333984375,7005.29833984375,2310.52783203125,1619.5626220703125,989.3681640625,1531.3123779296875,311.7694702148437,1682.512939453125,1027.152587890625,2577.051513671875,653.2841186523438,529.0549926757812,48.33827209472656,738.264892578125,641.8906860351562,3914.461181640625,209.2870330810547,3012.2490234375,324.2825927734375,1108.2803955078125,244.29136657714844,66.27186584472656,317.88214111328125,2133.975341796875,1099.3466796875,4306.59033203125,1411.615966796875,2084.494384765625,659.17333984375,7589.91552734375,1559.6165771484375,3236.061767578125,260.3352966308594,244.7672119140625,263.71929931640625,523.8312377929688,630.6737670898438,457.0343627929688,2121.4833984375,1610.0340576171875,366.7252807617188,1235.29345703125,1480.7567138671875,754.2548828125,1057.4051513671875,2366.55615234375,239.72314453125,190.74139404296875,4296.86572265625,995.6348876953124,209.40049743652344,1707.8265380859375,3336.7392578125
2017-03-30,1227.114013671875,2589.657958984375,1978.4716796875,837.6681518554688,517.39111328125,4915.2021484375,652.9193115234375,227.47341918945312,5276.501953125,3292.392333984375,589.8624267578125,2319.8671875,459.289794921875,1736.5181884765625,315.6549987792969,2054.06982421875,216.8174285888672,12.933423042297363,5055.375,7020.25634765625,2303.54345703125,1619.5626220703125,1005.341796875,1551.2642822265625,316.25177001953125,1683.01416015625,1030.1500244140625,2552.03125,652.8861694335938,524.5671997070312,49.46913528442383,735.2739868164062,646.8819580078125,3941.4033203125,210.38169860839844,3046.13916015625,323.784423828125,1090.2335205078125,245.2844390869141,66.38143157958984,313.99761962890625,2164.633056640625,1091.75,4246.7763671875,1394.561279296875,2087.4755859375,666.154052734375,7618.982421875,1562.6104736328125,3267.345458984375,262.7362976074219,246.06546020507807,263.9183349609375,514.7952270507812,633.16845703125,452.6465148925781,2168.29541015625,1626.9925537109375,367.025146484375,1215.478759765625,1457.8687744140625,764.2318115234375,1058.4014892578125,2356.59619140625,238.14810180664065,191.4367218017578,4257.95751953125,985.6785278320312,207.51220703125,1727.742919921875,3378.748291015625
2017-03-31,1185.3193359375,2600.635498046875,1977.477294921875,832.1834106445312,521.3107299804688,4900.73876953125,640.4589233398438,224.53082275390625,5266.56640625,3317.2177734375,607.2845458984375,2314.878662109375,455.21087646484375,1720.550537109375,316.8499450683594,2054.06982421875,216.2196350097656,12.907711029052734,5160.5048828125,7005.29833984375,2278.1044921875,1625.5533447265625,1024.3104248046875,1552.2620849609375,311.9188842773437,1663.4677734375,1023.1556396484376,2597.522216796875,647.810546875,527.5590209960938,49.1047477722168,747.23779296875,650.8751831054688,3925.437255859375,217.84559631347656,3070.0625,324.8803100585937,1124.2044677734375,245.58236694335935,66.0527572631836,319.3034973144531,2109.8876953125,1099.8890380859375,4306.59033203125,1393.7347412109375,2080.520751953125,680.61376953125,7563.9599609375,1560.61474609375,3187.400634765625,258.6203918457031,246.3650665283203,263.02264404296875,513.1016845703125,629.177001953125,454.9401550292969,2112.519287109375,1615.02197265625,365.9256591796875,1213.482666015625,1468.8153076171875,761.238525390625,1058.4014892578125,2372.53271484375,233.86395263671875,191.8341217041016,4199.3310546875,989.1631469726562,206.8165740966797,1744.671875,3393.32275390625
2017-04-03,1175.1134033203125,2595.646240234375,1985.4306640625,823.7069702148438,517.8810424804688,4898.244140625,632.9828491210938,220.8900451660156,5256.6298828125,3308.94287109375,601.8089599609375,2295.920654296875,453.7682495117188,1733.524658203125,314.65924072265625,2045.100341796875,214.0275421142578,12.924853324890137,5105.65478515625,6920.53564453125,2273.61474609375,1617.5655517578125,1015.3253173828124,1548.271484375,312.3670959472656,1660.9615478515625,1017.160888671875,2581.60009765625,643.5307006835938,525.5645751953125,48.85343933105469,734.27685546875,646.3828125,3922.4443359375,212.2725524902344,3040.159423828125,320.795654296875,1108.2803955078125,243.29835510253903,65.763916015625,319.01922607421875,2140.545166015625,1095.005615234375,4153.0673828125,1366.4552001953125,2073.565673828125,674.6304321289062,7532.8154296875,1557.6212158203125,3164.557861328125,257.4198608398437,245.9656219482422,261.9279479980469,514.287109375,626.6820068359375,451.2503356933594,2096.5830078125,1611.0316162109375,367.8247680664063,1213.482666015625,1470.8055419921875,746.5726928710938,1051.425048828125,2371.53662109375,232.72991943359372,191.73480224609372,4180.6748046875,989.1631469726562,205.37545776367188,1724.75537109375,3360.74462890625
2017-04-04,1203.78662109375,2533.773681640625,1980.4598388671875,837.6681518554688,518.8609008789062,4943.13671875,638.4654541015625,217.19943237304688,5256.6298828125,3263.43017578125,606.2890014648438,2323.858642578125,461.27972412109375,1742.5062255859375,312.61798095703125,2068.022705078125,213.52932739257807,12.959135055541992,5023.37939453125,7000.31201171875,2281.096435546875,1617.5655517578125,1010.3335571289062,1591.1680908203125,318.9412841796875,1664.971435546875,1011.165771484375,2595.247802734375,646.3175048828125,522.5726928710938,48.702667236328125,750.7271118164062,647.8802490234375,3949.385009765625,212.4715881347656,3042.152099609375,318.40460205078125,1118.89599609375,244.09278869628903,65.24601745605469,320.7247314453125,2149.30419921875,1095.005615234375,4117.18017578125,1382.1611328125,2085.488525390625,685.1014404296875,7522.4345703125,1563.6082763671875,3242.021484375,262.9078063964844,250.25978088378903,256.15594482421875,522.584716796875,631.1727294921875,454.74066162109375,2083.635498046875,1613.02685546875,370.0237121582031,1220.4683837890625,1463.8394775390625,743.1805419921875,1061.3912353515625,2357.592041015625,232.72991943359372,193.02626037597656,4197.1982421875,985.6785278320312,205.2760772705078,1743.676025390625,3343.597900390625
2017-04-05,1206.216552734375,2527.786376953125,1994.378662109375,850.6321411132812,518.8609008789062,4845.86962890625,633.481201171875,218.0472869873047,5284.45263671875,3193.093017578125,619.2311401367188,2332.839599609375,462.8216857910156,1730.53076171875,312.2694396972656,2073.005615234375,216.4188995361328,12.941994667053224,4991.38330078125,7124.96142578125,2281.096435546875,1601.5894775390625,1015.3253173828124,1570.21875,320.6842956542969,1666.9755859375,1006.1697998046876,2624.81640625,651.4927978515625,522.0740966796875,48.95396423339844,743.2499389648438,643.3880004882812,3940.404296875,216.15377807617188,2996.301025390625,317.50799560546875,1136.943359375,243.4969482421875,65.2260971069336,317.2190246582031,2124.12158203125,1098.8040771484375,4096.244140625,1386.7081298828125,2086.482177734375,680.61376953125,7531.77783203125,1570.5928955078125,3245.49658203125,267.0237731933594,250.55935668945312,255.0612945556641,522.07666015625,632.1705322265625,456.5357055664063,2077.659912109375,1623.9996337890625,369.32415771484375,1221.4661865234375,1477.7716064453125,747.2710571289062,1049.431884765625,2370.540771484375,232.1628570556641,192.2315216064453,4199.3310546875,988.1678466796876,205.2760772705078,1731.7261962890625,3442.191162109375
