Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,DCC.L,DGE.L,EXPN.L,EZJ.L,FRES.L,GLEN.L,GSK.L,HIK.L,HMSO.L,HSBA.L,IAG.L,IHG.L,III.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MNDI.L,NG.L,NXT.L,PRU.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RR.L,SBRY.L,SDR.L,SGE.L,SMIN.L,SN.L,SSE.L,STAN.L,STJ.L,SVT.L,TPK.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2015-10-27,541.77685546875,3416.255615234375,1612.6658935546875,542.9635620117188,465.9174499511719,4062.15478515625,439.7220764160156,955.6689453125,250.11614990234372,3767.256591796875,3387.498046875,864.058349609375,1794.5732421875,377.6251831054688,1302.885009765625,449.8753051757813,1538.39306640625,225.1588287353516,9.02275848388672,11523.318359375,5214.21240234375,1857.8704833984373,1109.0042724609375,1777.4345703125,732.1961669921875,111.60948944091795,1369.174072265625,2034.999267578125,2914.10546875,508.5621643066406,608.4078979492188,32.515708923339844,496.4262390136719,2561.9970703125,247.69650268554688,2666.197021484375,347.797607421875,1415.43896484375,256.7468566894531,77.05364990234375,484.7377624511719,1613.3785400390625,1011.9662475585938,7916.48779296875,1251.1424560546875,1990.8367919921875,865.0857543945312,6532.76171875,1155.1982421875,2413.7939453125,231.31369018554688,265.4465026855469,497.5992736816406,534.6739501953125,962.3251342773438,1137.290283203125,1534.33056640625,690.3599243164062,935.5223999023438,2238.9150390625,1776.514892578125,233.3598480224609,193.812255859375,3132.332763671875,986.6295166015624,213.8715362548828,1443.5201416015625,4190.2861328125
2015-10-28,547.219970703125,3462.150634765625,1614.65283203125,534.986328125,469.5414123535156,4166.326171875,440.9178161621094,964.1525268554688,252.40936279296875,3866.068603515625,3426.767333984375,871.5199584960938,1813.526123046875,388.556396484375,1323.8349609375,466.4469604492188,1534.407470703125,227.2500915527344,9.154478073120115,11623.8388671875,5204.24267578125,1864.3529052734373,1124.975341796875,1765.46533203125,766.1126098632812,114.99610900878906,1422.23876953125,2101.834716796875,2943.656005859375,512.3405151367188,608.4078979492188,33.32501220703125,502.7039184570313,2591.9267578125,251.57455444335935,2717.89599609375,350.48681640625,1434.5374755859375,260.6174011230469,73.66886138916016,483.7909851074219,1630.8917236328125,1014.7860717773438,7871.64794921875,1266.4254150390625,1993.8155517578125,884.02197265625,6590.88671875,1157.1934814453125,2396.42822265625,230.97071838378903,267.5350341796875,506.7388305664063,543.15283203125,960.3307495117188,1147.2667236328125,1546.26318359375,705.9332275390625,954.9503173828124,2242.8974609375,1798.214111328125,237.8330841064453,194.5072326660156,3153.64111328125,987.6243896484376,215.80812072753903,1455.4666748046875,4200.57080078125
2015-10-29,521.9486083984375,3499.067138671875,1616.6405029296875,525.0144653320312,474.1446838378906,4183.27197265625,437.4303283691406,954.1718139648438,236.555908203125,3863.586181640625,3399.898193359375,865.5505981445312,1829.48681640625,389.2519836425781,1322.83740234375,467.392578125,1551.345947265625,225.7563323974609,9.20387363433838,11660.392578125,5259.0771484375,1880.308837890625,1113.9951171875,1741.52685546875,732.6950073242188,110.36439514160156,1405.718505859375,2140.73876953125,2927.74462890625,509.8546447753906,595.4525146484375,33.49470901489258,500.2128601074219,2588.933837890625,251.49398803710935,2713.676513671875,348.0964050292969,1423.926513671875,261.2129821777344,73.88790893554688,484.2644348144531,1656.06640625,1005.3499145507812,7971.28955078125,1255.27294921875,1969.9847412109373,872.560546875,6661.46435546875,1160.1864013671875,2339.370361328125,232.85699462890625,267.8333435058594,504.3692932128906,544.6492309570312,952.8515625,1093.3948974609375,1511.4595947265625,686.8462524414062,961.9241943359376,2237.919189453125,1795.3834228515625,233.9269256591797,192.42214965820312,3128.322021484375,986.1319580078124,214.61636352539065,1460.4442138671875,4245.138671875
2015-10-30,531.2797241210938,3447.185302734375,1602.7298583984375,525.0144653320312,476.0055541992188,4137.41650390625,438.7257385253906,962.1564331054688,231.32130432128903,3832.800537109375,3428.833740234375,866.0482177734375,1854.42529296875,383.9851379394531,1324.8326416015625,462.814208984375,1544.37109375,225.1588287353516,9.212103843688965,11651.25390625,5189.28857421875,1873.327880859375,1106.009521484375,1745.5166015625,728.2060546875,112.05772399902344,1406.719970703125,2158.695068359375,2893.64794921875,504.6846618652344,580.5038452148438,33.95157241821289,499.2163391113281,2618.86376953125,250.99673461914065,2727.39208984375,351.6820068359375,1420.744140625,259.6248779296875,73.40008544921875,485.6844482421875,1646.21533203125,1003.072021484375,7971.28955078125,1254.8599853515625,1979.9141845703125,858.6076049804688,6584.658203125,1159.188720703125,2340.363037109375,235.77194213867188,264.9491577148437,504.8771057128906,543.6517333984375,959.33349609375,1107.3616943359375,1506.488037109375,685.0420532226562,960.9281616210938,2232.942626953125,1807.648681640625,230.9658966064453,196.5923309326172,3082.505126953125,983.6441040039062,212.779052734375,1451.484619140625,4256.28125
2015-11-02,529.0440673828125,3426.232177734375,1598.755126953125,520.5270385742188,475.6138610839844,4142.900390625,442.3128356933594,964.1525268554688,235.3594207763672,3793.574462890625,3415.399658203125,867.54052734375,1865.3985595703125,385.8236083984375,1331.8160400390625,461.4207763671875,1550.3494873046875,226.25424194335935,8.915735244750977,11733.498046875,5234.15234375,1863.854248046875,1111.99853515625,1708.6114501953125,720.225830078125,115.1455307006836,1398.7098388671875,2046.96923828125,2868.643798828125,500.6082153320313,585.4868774414062,33.83408737182617,500.7110290527344,2609.884765625,253.1845550537109,2747.439208984375,354.07232666015625,1418.62158203125,260.6174011230469,74.6644058227539,492.311767578125,1651.68798828125,1001.336669921875,7941.3955078125,1262.7078857421875,1954.0982666015625,858.6076049804688,6526.5341796875,1155.1982421875,2303.648193359375,237.1437530517578,265.6453857421875,504.7078247070313,541.1578369140625,970.302978515625,1102.3734130859375,1510.465576171875,677.6351928710938,960.4299926757812,2228.9599609375,1843.499755859375,231.78485107421875,196.79090881347656,3063.32763671875,978.6688842773438,213.424560546875,1469.4041748046875,4181.7138671875
2015-11-03,546.1508178710938,3427.230224609375,1627.570556640625,533.9892578125,479.9234008789063,4149.37890625,442.4124755859375,970.14111328125,232.81689453125,3815.422119140625,3302.75830078125,852.6173706054688,1864.400634765625,400.72998046875,1340.7945556640625,459.6291198730469,1570.2767333984375,226.752197265625,8.932202339172363,11715.2216796875,5318.89501953125,1870.834716796875,1123.9769287109375,1718.5858154296875,726.7098388671875,118.98038482666016,1378.184814453125,2050.95947265625,2825.454833984375,502.0001831054688,581.5003662109375,34.134315490722656,499.7145385742188,2626.84521484375,253.880615234375,2769.595458984375,348.5943908691406,1403.766845703125,260.2204895019531,74.13677215576172,492.7851867675781,1641.8370361328125,994.2864990234376,7936.4140625,1278.40380859375,1907.43017578125,859.6041870117188,6528.6103515625,1159.188720703125,2329.447998046875,238.34396362304688,267.9328308105469,504.8771057128906,541.6568603515625,988.7518920898438,1099.3807373046875,1520.4093017578125,632.4342041015625,959.9317016601562,2209.049560546875,1842.5562744140625,232.6669464111328,186.36553955078125,3057.99951171875,962.2498168945312,213.92112731933597,1483.34130859375,4142.28759765625
2015-11-04,562.8687133789062,3427.230224609375,1622.6024169921875,535.9832763671875,479.0418090820313,4114.48974609375,446.0992431640625,983.1163330078124,231.67030334472656,3830.3173828125,3195.28466796875,830.7299194335938,1873.3782958984373,399.5372924804688,1371.720703125,463.3615112304688,1583.2296142578125,231.0342712402344,8.808714866638184,11806.6044921875,5343.82080078125,1888.78515625,1141.9447021484375,1727.5628662109375,738.1815795898438,125.355224609375,1390.19970703125,2042.9793701171875,2768.62841796875,516.11865234375,577.51416015625,34.22568893432617,501.209228515625,2690.695556640625,253.6817321777344,2775.92626953125,348.7936096191406,1379.3631591796875,265.5797119140625,73.51954650878906,506.5130615234375,1641.8370361328125,1000.79443359375,7931.43310546875,1295.339599609375,1845.8677978515625,864.58740234375,6557.671875,1160.1864013671875,2352.27099609375,243.31663513183597,275.49151611328125,508.4313659667969,543.6517333984375,1015.1783447265624,1101.3759765625,1530.3526611328125,635.4728393554688,955.946533203125,2225.97412109375,1842.5562744140625,237.7700958251953,179.0181427001953,3061.19482421875,977.6735229492188,215.7584686279297,1488.3192138671875,4063.437255859375
2015-11-05,519.615966796875,3474.12353515625,1622.6024169921875,514.5440673828125,475.8097839355469,4233.61328125,436.3343200683594,967.6459350585938,227.49234008789065,3833.29736328125,3253.155029296875,847.6427612304688,1864.400634765625,388.0810241699219,1381.69677734375,464.20751953125,1537.3966064453125,227.1505126953125,8.800482749938965,11843.15625,5323.88037109375,1891.777099609375,1111.00048828125,1767.460205078125,725.2135009765625,121.02235412597656,1387.6962890625,2042.9793701171875,2820.908447265625,513.9312133789062,578.5109252929688,34.09515380859375,498.7180480957031,2597.9130859375,253.08511352539065,2744.27392578125,350.28759765625,1403.766845703125,266.4728698730469,72.57379150390625,511.2467651367188,1647.309814453125,1005.7835693359376,7926.44970703125,1272.6212158203125,1886.5780029296875,844.654541015625,6590.88671875,1167.16943359375,2281.32080078125,240.0587158203125,273.5023498535156,507.9236450195313,543.6517333984375,985.2615356445312,1099.3807373046875,1525.381103515625,595.3997192382812,947.9761962890624,2209.049560546875,1837.838623046875,231.84780883789065,182.09608459472656,3068.654541015625,971.2055053710938,215.063232421875,1481.3502197265625,4063.437255859375
2015-11-06,510.6737365722656,3421.243896484375,1634.526123046875,513.0482788085938,477.08306884765625,4212.67919921875,443.408935546875,965.6498413085938,231.73008728027344,3783.64306640625,3212.852294921875,834.211669921875,1890.336669921875,384.1549682617188,1371.720703125,463.3615112304688,1525.4404296875,223.7646484375,8.825181007385254,11651.25390625,5358.7744140625,1877.3170166015625,1112.9967041015625,1793.3936767578125,705.2625122070312,115.39454650878906,1386.1947021484375,2006.0701904296875,2798.177734375,524.7684326171875,599.93701171875,36.20979309082031,494.234130859375,2600.906005859375,254.5767364501953,2761.1552734375,352.27960205078125,1387.8515625,266.1752014160156,73.41002655029297,513.6136474609375,1649.4990234375,969.8822021484376,7911.50439453125,1276.3388671875,1866.719482421875,824.7217407226562,6504.7373046875,1158.1912841796875,2264.451416015625,239.7157287597656,273.1044921875,510.1239318847656,541.6568603515625,996.7295532226562,1109.3570556640625,1483.617431640625,583.719482421875,958.4374389648438,2175.20263671875,1865.1988525390625,230.4618377685547,180.20962524414065,3045.212158203125,952.7964477539062,214.71566772460935,1485.3323974609375,4085.7216796875
2015-11-09,501.5372009277344,3401.288818359375,1629.5577392578125,508.0623168945313,476.2014465332031,4145.39208984375,439.62249755859375,961.6574096679688,233.37533569335935,3746.89892578125,3199.418212890625,818.2935791015625,1858.4156494140625,380.2786254882813,1370.7230224609375,458.3353271484375,1508.501953125,215.59878540039065,8.709924697875977,11559.873046875,5338.8359375,1860.36376953125,1102.0164794921875,1779.429443359375,699.776123046875,109.26870727539062,1369.174072265625,1977.1412353515625,2702.7080078125,524.56982421875,593.9576416015625,34.46065139770508,492.34088134765625,2555.013671875,255.37228393554688,2720.006103515625,352.5783386230469,1356.020263671875,264.8849792480469,72.6733627319336,508.406494140625,1623.2296142578125,971.8346557617188,7841.75537109375,1280.46923828125,1845.8677978515625,818.7417602539062,6420.66455078125,1152.2056884765625,2273.38232421875,239.54425048828125,271.8115539550781,510.4622802734375,540.6591186523438,991.7435302734376,1089.404296875,1460.746337890625,580.8707275390625,950.4668579101562,2118.458251953125,1878.407470703125,224.9806060791016,177.3302459716797,3001.5263671875,931.4022827148438,212.97772216796875,1483.34130859375,4009.440673828125
2015-11-10,477.9669494628906,3405.280029296875,1619.621337890625,496.2956237792969,471.3043212890625,4142.900390625,436.4339599609375,956.6670532226562,229.9352569580078,3753.353515625,3236.62060546875,816.8012084960938,1872.381103515625,380.17913818359375,1315.8541259765625,463.3118591308594,1539.389404296875,213.9058837890625,8.660531997680664,11404.521484375,5777.50830078125,1866.845703125,1184.8673095703125,1776.4371337890625,689.8007202148438,104.6370086669922,1367.1715087890625,1975.1461181640625,2673.157470703125,520.3939208984375,604.4216918945312,34.0037841796875,487.2590026855469,2528.076171875,260.0461730957031,2698.90478515625,351.2835998535156,1318.883056640625,263.2970886230469,72.633544921875,504.146240234375,1613.3785400390625,986.26025390625,7826.80810546875,1230.4898681640625,1861.7548828125,819.73828125,6393.67822265625,1146.2200927734375,2300.67138671875,230.4563446044922,271.1154479980469,509.7854309082031,532.6788330078125,986.2587890625,1086.4117431640625,1483.617431640625,569.3807983398438,943.4928588867188,2124.431396484375,1851.04736328125,220.82249450683597,178.52171325683594,2993.00341796875,933.8896484375,221.2703857421875,1478.36376953125,3952.0166015625
2015-11-11,478.9389953613281,3446.187255859375,1629.5577392578125,504.07366943359375,481.1966857910156,4188.75390625,436.7328186035156,977.1278686523438,231.43096923828125,3758.31982421875,3219.053466796875,811.8268432617188,1883.35400390625,375.6071166992188,1331.8160400390625,473.215087890625,1548.3565673828125,214.1050567626953,8.709924697875977,11459.3515625,5742.6123046875,1894.270263671875,1211.81884765625,1797.3834228515625,686.8079833984375,103.44172668457033,1375.1812744140625,1966.1680908203125,2673.157470703125,520.6923828125,612.3942260742188,34.16042709350586,490.74658203125,2582.948486328125,263.6261901855469,2693.6298828125,352.3791198730469,1316.7611083984375,265.9766540527344,73.12133026123047,497.9923095703125,1633.080810546875,983.548583984375,7796.91748046875,1246.185791015625,1843.882080078125,816.2503662109375,6533.79736328125,1168.166748046875,2289.259033203125,228.7415771484375,251.9205322265625,507.4158630371094,537.1677856445312,981.2724609375,1092.3974609375,1435.8868408203125,563.8729248046875,967.4041137695312,2136.376953125,1839.7254638671875,219.24749755859372,177.72740173339844,3029.229736328125,933.8896484375,222.90902709960935,1507.234130859375,3947.730712890625
2015-11-12,437.2900390625,3406.277587890625,1614.65283203125,479.44329833984375,475.2220764160156,4062.15478515625,453.3731384277344,963.6536254882812,225.0494079589844,3698.734130859375,3198.384765625,799.3907470703125,1860.41064453125,365.021728515625,1309.868408203125,479.3859252929688,1528.4290771484375,209.8229217529297,8.602903366088867,11139.513671875,5762.552734375,1877.8155517578125,1190.856689453125,1776.4371337890625,672.8424072265625,95.54289245605467,1333.3587646484375,1931.253662109375,2618.603759765625,518.0077514648438,593.9576416015625,33.35111999511719,476.6967468261719,2524.0849609375,261.4384155273437,2584.956298828125,351.4827575683594,1295.540283203125,262.40386962890625,72.21539306640625,487.1675109863281,1588.2037353515625,993.5272827148438,7776.98828125,1231.728515625,1833.95263671875,771.4013061523438,6502.66064453125,1162.181396484375,2220.789306640625,183.98780822753903,241.6766357421875,504.0308837890625,538.6641235351562,930.9125366210938,1077.4329833984375,1432.9034423828125,552.7626342773438,949.470703125,2130.404052734375,1809.535400390625,216.3493194580078,176.73455810546875,2981.283203125,931.8994750976562,220.0785675048828,1495.2879638671875,3867.16455078125
