2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SDR.L,SDR.L,SBRY.L,RIO.L,RIO.L,PSON.L,PSON.L,PSON.L,NXT.L,PRU.L,PRU.L,PSH.L,MNDI.L,LAND.L,JD.L,INF.L
SGE.L,SGE.L,SDR.L,RR.L,RR.L,RKT.L,RKT.L,RKT.L,OCDO.L,PSN.L,PSH.L,PSN.L,MRO.L,LGEN.L,KGF.L,ITRK.L
SMIN.L,SMIN.L,SGE.L,SBRY.L,SBRY.L,REL.L,REL.L,REL.L,PRU.L,PSON.L,PSN.L,PSON.L,NG.L,LLOY.L,LAND.L,JD.L
SN.L,SN.L,SMIN.L,SDR.L,SDR.L,RIO.L,RIO.L,RIO.L,PSN.L,RKT.L,PSON.L,RKT.L,NXT.L,MKS.L,LGEN.L,KGF.L
SRP.L,SRP.L,SN.L,SGE.L,SGE.L,RR.L,RR.L,RR.L,PSON.L,REL.L,RKT.L,REL.L,OCDO.L,MNDI.L,LLOY.L,LAND.L
SSE.L,SSE.L,SRP.L,SMIN.L,SMIN.L,SBRY.L,SBRY.L,RTO.L,RKT.L,RIO.L,REL.L,RIO.L,PRU.L,NG.L,LMP.L,LGEN.L
STAN.L,STAN.L,SSE.L,SN.L,SN.L,SDR.L,SDR.L,SBRY.L,REL.L,RMV.L,RIO.L,RMV.L,PSH.L,NXT.L,MKS.L,LLOY.L
SVT.L,SVT.L,STAN.L,SSE.L,SSE.L,SGE.L,SGE.L,SDR.L,RIO.L,RR.L,RMV.L,RR.L,PSN.L,OCDO.L,MNDI.L,LMP.L
TLW.L,TATE.L,SVT.L,STAN.L,STAN.L,SMIN.L,SKG.L,SGE.L,RMV.L,RTO.L,RR.L,RTO.L,PSON.L,PRU.L,NG.L,MKS.L
TSCO.L,TLW.L,TATE.L,SVT.L,STJ.L,SN.L,SMIN.L,SGRO.L,RR.L,SBRY.L,RTO.L,SBRY.L,RKT.L,PSH.L,NXT.L,MNDI.L
ULVR.L,TSCO.L,TLW.L,TATE.L,SVT.L,SSE.L,SN.L,SKG.L,RTO.L,SDR.L,SBRY.L,SDR.L,REL.L,PSON.L,PRU.L,NG.L
UU.L,ULVR.L,TSCO.L,TLW.L,TLW.L,STAN.L,SSE.L,SMIN.L,SBRY.L,SGE.L,SDR.L,SGE.L,RIO.L,RKT.L,PSH.L,NXT.L
VOD.L,UU.L,ULVR.L,TPK.L,TPK.L,STJ.L,STAN.L,SMT.L,SDR.L,SGRO.L,SGE.L,SGRO.L,RMV.L,REL.L,PSN.L,PCT.L
WEIR.L,VOD.L,UU.L,TSCO.L,TSCO.L,SVT.L,STJ.L,SN.L,SGE.L,SKG.L,SGRO.L,SKG.L,RR.L,RIO.L,PSON.L,PRU.L
WPP.L,WEIR.L,VOD.L,ULVR.L,TW.L,TPK.L,SVT.L,SSE.L,SGRO.L,SMIN.L,SKG.L,SMIN.L,RTO.L,RMV.L,RKT.L,PSH.L
WTB.L,WPP.L,WEIR.L,UU.L,ULVR.L,TSCO.L,TSCO.L,STAN.L,SKG.L,SMT.L,SMIN.L,SMT.L,SBRY.L,RR.L,REL.L,PSN.L
,WTB.L,WPP.L,VOD.L,UU.L,TW.L,TW.L,STJ.L,SMIN.L,SN.L,SMT.L,SN.L,SDR.L,RTO.L,RIO.L,PSON.L
,,WTB.L,WEIR.L,VOD.L,ULVR.L,ULVR.L,SVT.L,SMT.L,SPX.L,SN.L,SPX.L,SGE.L,SBRY.L,RMV.L,RKT.L
,,,WPP.L,WEIR.L,UU.L,UU.L,TSCO.L,SN.L,SSE.L,SPX.L,SSE.L,SGRO.L,SDR.L,RR.L,REL.L
,,,WTB.L,WPP.L,VOD.L,VOD.L,TW.L,SPX.L,STAN.L,SSE.L,STAN.L,SHEL.L,SGE.L,RTO.L,RIO.L
,,,,WTB.L,WPP.L,WPP.L,ULVR.L,SSE.L,STJ.L,STAN.L,STJ.L,SKG.L,SGRO.L,SBRY.L,RMV.L
,,,,,WTB.L,WTB.L,UU.L,STAN.L,SVT.L,STJ.L,SVT.L,SMIN.L,SHEL.L,SDR.L,RR.L
,,,,,,,VOD.L,STJ.L,TSCO.L,SVT.L,TSCO.L,SMT.L,SKG.L,SGE.L,RTO.L
,,,,,,,WPP.L,SVT.L,TW.L,TSCO.L,TW.L,SN.L,SMIN.L,SGRO.L,SBRY.L
,,,,,,,WTB.L,TSCO.L,ULVR.L,TW.L,ULVR.L,SPX.L,SMT.L,SHEL.L,SDR.L
,,,,,,,,TW.L,UU.L,ULVR.L,UU.L,SSE.L,SN.L,SMIN.L,SGE.L
,,,,,,,,ULVR.L,VOD.L,UU.L,VOD.L,STAN.L,SPX.L,SMT.L,SGRO.L
,,,,,,,,UU.L,WPP.L,VOD.L,WPP.L,STJ.L,SSE.L,SN.L,SHEL.L
,,,,,,,,VOD.L,WTB.L,WPP.L,WTB.L,SVT.L,STAN.L,SPX.L,SMIN.L
,,,,,,,,WPP.L,,WTB.L,,TSCO.L,STJ.L,SSE.L,SMT.L
,,,,,,,,WTB.L,,,,TW.L,SVT.L,STAN.L,SN.L
,,,,,,,,,,,,ULVR.L,TSCO.L,STJ.L,SPX.L
,,,,,,,,,,,,UTG.L,TW.L,SVT.L,SSE.L
,,,,,,,,,,,,UU.L,ULVR.L,TSCO.L,STAN.L
,,,,,,,,,,,,VOD.L,UTG.L,TW.L,STJ.L
,,,,,,,,,,,,WEIR.L,UU.L,ULVR.L,SVT.L
,,,,,,,,,,,,WPP.L,VOD.L,UTG.L,TSCO.L
,,,,,,,,,,,,WTB.L,WEIR.L,UU.L,ULVR.L
,,,,,,,,,,,,,WPP.L,VOD.L,UU.L
,,,,,,,,,,,,,WTB.L,WEIR.L,VOD.L
,,,,,,,,,,,,,,WPP.L,WEIR.L
,,,,,,,,,,,,,,WTB.L,WTB.L
