Date,AAL.L,ABF.L,ADM.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,DCC.L,DGE.L,EXPN.L,EZJ.L,FRES.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HSBA.L,HSX.L,IAG.L,IHG.L,III.L,INF.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MNDI.L,MRO.L,NG.L,NXT.L,OCDO.L,PRU.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2018-11-12,1633.35400390625,2609.100341796875,2030.4505615234373,765.9216918945312,436.8338317871094,420.1296997070313,6239.42578125,528.4981689453125,170.35446166992188,2945.559814453125,3680.635009765625,612.2982177734375,2250.744873046875,525.9464111328125,1737.1729736328125,253.8114471435547,2373.9462890625,155.25686645507812,13.642852783203123,1854.7498779296875,6204.21728515625,2734.105224609375,1790.8812255859375,1213.294921875,822.1642456054688,296.027099609375,1578.3311767578125,1786.4542236328125,1297.172119140625,632.4191284179688,1567.576171875,636.2575073242188,51.6108283996582,848.6729736328125,731.9509887695312,4544.48681640625,149.2453155517578,2904.78515625,240.56671142578125,849.3203125,256.00048828125,57.74234008789063,291.4344482421875,1888.326416015625,383.6093444824219,857.6251220703125,5240.77783203125,798.4000244140625,1314.92578125,2304.130126953125,919.1896362304688,6491.54833984375,1563.3690185546875,3861.358642578125,445.3573303222656,281.4482727050781,310.2625427246094,314.9621887207031,433.0278015136719,544.2211303710938,628.6915893554688,2306.335693359375,1322.5328369140625,473.8729248046875,1390.9879150390625,6477.0126953125,1141.72802734375,565.9850463867188,1033.2589111328125,1962.9051513671875,271.2185974121094,162.27169799804688,4434.814453125,764.0430908203125,143.61878967285156,848.3869018554688,3851.266845703125
2018-11-13,1612.146728515625,2544.22216796875,2049.362060546875,768.9151000976562,442.0295104980469,428.07513427734375,6299.314453125,539.8703002929688,175.06381225585938,2820.2802734375,3809.979736328125,617.6781616210938,2320.612548828125,511.406005859375,1775.610595703125,251.4691619873047,2321.103271484375,153.7601776123047,13.770356178283691,1892.9998779296875,6249.103515625,2722.128173828125,1871.2862548828125,1245.249755859375,823.960693359375,293.7844543457031,1584.7530517578125,1823.3807373046875,1310.1636962890625,641.9814453125,1601.52392578125,651.8248901367188,52.56306076049805,857.85009765625,723.560791015625,4542.48974609375,149.9925079345703,2933.70361328125,244.85366821289065,861.072265625,261.17022705078125,58.59970474243164,286.4080810546875,1902.57373046875,411.9904479980469,848.4601440429688,5268.71630859375,803.2000122070312,1336.4276123046875,2362.82763671875,908.21142578125,6477.0068359375,1567.8614501953125,3822.59619140625,444.5581665039063,281.7227783203125,311.16162109375,314.46435546875,440.9903869628906,547.8145141601562,630.88623046875,2232.580810546875,1312.5516357421875,475.3223876953125,1391.986083984375,6656.7900390625,1127.281982421875,583.8465576171875,1059.68896484375,1921.5443115234373,269.95831298828125,163.26663208007812,4431.61474609375,761.8511962890625,154.8010711669922,852.7723999023438,3921.6025390625
2018-11-14,1596.3870849609375,2524.259521484375,2044.38525390625,760.1343994140625,442.4291076660156,424.3476257324219,6261.38525390625,535.880126953125,173.1880340576172,2801.88623046875,3785.1455078125,620.4676513671875,2285.678466796875,510.0115661621094,1773.61376953125,257.150390625,2312.129638671875,151.814453125,13.86268424987793,1886.2498779296875,6049.609375,2721.629150390625,1828.8365478515625,1248.2457275390625,816.17626953125,290.6447448730469,1556.8590087890625,1786.953125,1298.1715087890625,641.6828002929688,1604.5191650390625,647.4340209960938,52.81698226928711,857.85009765625,731.5513916015625,4502.564453125,158.16213989257812,2920.740478515625,250.2372589111328,876.2103271484375,261.17022705078125,58.21088790893555,288.399658203125,1929.972412109375,422.1099243164063,855.7323608398438,5360.52001953125,794.5999755859375,1333.9468994140625,2339.9453125,918.3914184570312,6684.73779296875,1584.333740234375,3687.423095703125,442.4601745605469,277.1942443847656,313.45904541015625,315.4600830078125,437.9408874511719,548.214111328125,632.881591796875,2302.349365234375,1381.423095703125,470.6241455078125,1387.4942626953125,6581.88134765625,1186.559814453125,585.7426147460938,1057.6942138671875,1933.5037841796875,267.689697265625,161.2768096923828,4414.54931640625,763.2460327148438,156.75100708007812,858.7526245117188,3989.364013671875
2018-11-15,1637.8291015625,2441.4150390625,1980.18701171875,794.2595825195312,419.4483947753906,405.7101135253906,6305.30322265625,531.2914428710938,166.06414794921875,2759.13134765625,3548.186279296875,584.8017578125,2296.810546875,524.8510131835938,1802.5667724609373,254.0605926513672,2349.020263671875,143.73233032226562,14.126484870910645,1610.9998779296875,5830.169921875,2784.505615234375,1841.3214111328125,1165.3621826171875,848.312255859375,296.87432861328125,1568.1343994140625,1718.089599609375,1308.1649169921875,655.2296752929688,1598.5284423828125,629.4719848632812,53.26136016845703,787.8256225585938,738.5433349609375,4485.5947265625,148.84677124023438,2944.67236328125,244.05609130859372,836.1742553710938,246.7546539306641,55.2799186706543,274.7096252441406,1954.631591796875,424.552490234375,836.9041748046875,5140.99072265625,764.4000244140625,1316.5797119140625,2167.831787109375,927.1740112304688,6760.55859375,1625.264892578125,3777.372314453125,431.6209716796875,277.7431945800781,317.15509033203125,304.735595703125,428.4535827636719,564.9838256835938,613.5279541015625,2246.53466796875,1427.3375244140625,485.6328430175781,1392.9844970703125,6791.6240234375,1124.7911376953125,595.3220825195312,1022.7864990234376,1801.9461669921875,255.96885681152344,149.18850708007812,4532.93896484375,731.3611450195312,154.60208129882812,862.5401000976562,3890.72314453125
2018-11-16,1656.507080078125,2443.41162109375,1971.2291259765625,809.0272216796875,428.5407409667969,406.88720703125,6192.51220703125,526.5032348632812,164.6074676513672,2691.521240234375,3482.996337890625,592.373291015625,2291.81982421875,522.7596435546875,1814.5472412109373,254.1602783203125,2292.189453125,144.9296875,13.955016136169434,1604.9998779296875,5810.220703125,2796.98095703125,1876.779541015625,1160.369140625,863.2824096679688,296.5254821777344,1567.5323486328125,1736.05419921875,1335.147705078125,651.3448486328125,1597.5301513671875,633.064453125,53.47718811035156,793.4116821289062,735.7465209960938,4527.5185546875,146.25640869140625,2991.54052734375,242.0621795654297,838.9629516601562,242.3802490234375,54.33283233642578,276.2274169921875,1937.64453125,398.8467102050781,819.8692016601562,5172.92236328125,768.4000244140625,1288.0484619140625,2117.093505859375,928.5714111328124,6783.40771484375,1617.2781982421875,3886.20556640625,439.5631103515625,275.8907165527344,320.1517944335937,304.0384216308594,430.317138671875,554.6025390625,612.530517578125,2294.376220703125,1413.3636474609375,484.033447265625,1396.47802734375,6686.75390625,1113.832275390625,589.235107421875,1012.8131103515624,1817.3939208984373,256.9770812988281,147.5966033935547,4557.470703125,735.5460205078125,152.6123504638672,864.5335083007812,3888.14990234375
2018-11-19,1677.130859375,2475.3515625,1980.18701171875,812.0206298828125,426.8421936035156,408.4566650390625,6162.56787109375,518.3234252929688,165.7050018310547,2706.435546875,3488.169921875,583.0084838867188,2289.823486328125,520.5684204101562,1779.1051025390625,255.156982421875,2278.230712890625,141.88641357421875,13.95941162109375,1574.2498779296875,5780.294921875,2780.01416015625,1842.81982421875,1173.35107421875,892.4244384765625,299.66510009765625,1574.155517578125,1684.6563720703125,1310.1636962890625,648.8546752929688,1606.516357421875,634.0623168945312,52.72811508178711,807.5760498046875,731.351806640625,4507.55517578125,145.55899047851562,2868.88671875,244.25547790527344,837.7677001953125,244.7662811279297,55.65875625610352,279.0732421875,1932.164794921875,396.1714477539063,822.7583618164062,5150.96875,750.0,1295.491455078125,2095.2060546875,940.1485595703124,6716.93603515625,1615.78076171875,3865.334228515625,430.8218078613281,273.35205078125,315.8564758300781,305.6318359375,421.5074768066406,549.8110961914062,610.9342651367188,2218.627685546875,1412.8643798828125,474.8366088867188,1388.492431640625,6586.8779296875,1102.3751220703125,596.120361328125,1005.8316650390624,1848.2901611328125,258.8675537109375,147.34791564941406,4544.67138671875,742.1222534179688,155.0199432373047,853.5697021484375,3910.451171875
2018-11-20,1620.5130615234375,2457.384765625,1967.247802734375,793.4613647460938,416.6507873535156,397.66644287109375,6237.42919921875,507.948974609375,161.17523193359375,2710.9091796875,3467.474609375,574.8391723632812,2309.786865234375,516.8836669921875,1726.1910400390625,253.7615966796875,2237.352294921875,145.27890014648438,14.711240768432615,1607.9998779296875,5540.90478515625,2804.4658203125,1796.8740234375,1108.94140625,912.3848876953124,294.9306640625,1587.8037109375,1650.7236328125,1349.1387939453125,640.0889892578125,1645.4560546875,628.4739990234375,52.28373718261719,830.5186157226562,703.3840942382812,4588.4033203125,145.8080596923828,2769.1689453125,245.551513671875,834.1825561523438,239.09947204589844,55.19019317626953,282.2034606933594,1919.0133056640625,389.07623291015625,843.57861328125,5135.0029296875,753.0,1259.9302978515625,2062.375,935.7571411132812,6834.30224609375,1596.3135986328125,3784.827392578125,424.1783752441406,269.30389404296875,317.45477294921875,305.5322570800781,415.0696105957031,535.2373657226562,600.3594970703125,2164.806640625,1381.423095703125,458.1923522949219,1382.5032958984375,6272.26416015625,1118.3154296875,577.1610107421875,993.763671875,1882.1766357421875,257.10308837890625,144.91033935546875,4554.27001953125,759.8583984375,152.8312530517578,843.602783203125,3892.439208984375
2018-11-21,1652.2265625,2500.304931640625,1993.6240234375,822.3980102539062,426.2427368164063,404.0425415039063,6188.52001953125,514.9319458007812,166.2637481689453,2707.43017578125,3527.49072265625,590.380859375,2320.766845703125,528.5359497070312,1751.649658203125,256.6520690917969,2291.1923828125,145.42855834960938,14.922280311584473,1643.9998779296875,5730.42236328125,2819.43603515625,1825.840087890625,1132.907958984375,910.7879638671876,295.08026123046875,1581.782470703125,1681.6619873046875,1349.1387939453125,657.5205688476562,1647.452880859375,639.650390625,53.61685943603516,846.877685546875,721.962646484375,4547.48046875,149.544189453125,3132.141845703125,238.07437133789065,856.2918701171875,239.09947204589844,56.05752182006836,284.7648010253906,1968.330810546875,411.9904479980469,850.053955078125,5188.88818359375,759.0,1286.3946533203125,2090.23193359375,951.5262451171876,6962.0556640625,1622.27001953125,3826.5712890625,425.8267822265625,279.389892578125,318.65350341796875,310.8104248046875,422.8628540039063,547.2156372070312,603.9509887695312,2282.41552734375,1399.8885498046875,477.4356994628906,1391.4869384765625,6312.216796875,1125.289306640625,594.0249633789062,993.36474609375,1907.5911865234373,261.1361999511719,147.24838256835938,4564.40283203125,775.2029418945312,157.2285614013672,860.14794921875,3956.769775390625
2018-11-22,1598.5274658203125,2506.29345703125,1966.252685546875,807.4307250976562,426.2427368164063,398.8435363769531,6073.73291015625,505.9539184570313,165.146240234375,2654.732177734375,3595.784912109375,586.395751953125,2320.766845703125,523.058349609375,1816.0447998046875,253.21340942382807,2266.265869140625,132.0082550048828,14.790382385253906,1652.2498779296875,5671.01953125,2806.4619140625,1830.8336181640625,1158.3720703125,800.8068237304688,289.6978759765625,1570.54296875,1658.208740234375,1309.1644287109375,647.6592407226562,1647.452880859375,637.854248046875,52.95664978027344,836.104736328125,710.5758666992188,4515.54052734375,148.44822692871094,3038.407470703125,235.7812957763672,849.3203125,237.21055603027344,55.828224182128906,287.70526123046875,1891.6141357421875,415.9451599121094,823.0004272460938,5174.91796875,750.0,1250.006591796875,2111.1240234375,950.528076171875,6877.92626953125,1617.2781982421875,3745.070068359375,427.5749816894531,274.31256103515625,318.0540771484375,306.3289489746094,420.4909973144531,559.1942138671875,598.5639038085938,2144.87255859375,1391.9034423828125,466.4894714355469,1378.0113525390625,6107.4677734375,1113.832275390625,596.81884765625,998.8501586914062,1891.146240234375,253.70025634765625,149.2382354736328,4512.1416015625,768.2281494140625,151.2599639892578,829.4497680664062,3967.062255859375
2018-11-23,1526.1497802734375,2494.315673828125,2002.5816650390625,791.4658203125,428.4408264160156,401.49212646484375,6179.53662109375,504.7568054199219,164.16847229003906,2715.880615234375,3659.93994140625,603.7306518554688,2342.727294921875,510.5096130371094,1846.9945068359373,255.40614318847656,2239.345947265625,128.56582641601562,14.900297164916992,1627.4998779296875,5730.87109375,2793.986572265625,1847.3145751953125,1205.3060302734375,744.9178466796875,279.6310119628906,1587.60302734375,1688.1494140625,1328.1522216796875,651.4442749023438,1659.4344482421875,646.835205078125,53.413719177246094,839.0971069335938,711.9741821289062,4607.369140625,149.64381408691406,3049.376708984375,240.26763916015625,857.2877807617188,240.39190673828125,57.0245475769043,289.79229736328125,1906.409912109375,423.0403747558594,816.3247680664062,5180.904296875,794.4000244140625,1255.79541015625,2163.8525390625,947.3342895507812,6903.8916015625,1647.227783203125,3619.8369140625,432.81976318359375,278.7038269042969,320.0519104003906,309.0177917480469,429.1312255859375,575.365234375,606.5447998046875,2172.77978515625,1379.4266357421875,470.6380310058594,1394.4818115234375,6122.44921875,1113.832275390625,599.1139526367188,1023.2855224609376,1931.012451171875,254.7085876464844,151.82504272460938,4528.14013671875,780.9820556640625,154.3647918701172,849.7825317382812,3988.506103515625
2018-11-26,1520.31298828125,2479.34423828125,2025.473876953125,804.038330078125,435.8346862792969,407.279541015625,6126.634765625,511.1410827636719,168.31907653808594,2701.463623046875,3641.314208984375,609.7081909179688,2351.710693359375,522.6597290039062,1821.5360107421875,259.143798828125,2262.278076171875,132.50714111328125,14.895901679992676,1663.4998779296875,5860.55224609375,2807.959228515625,1867.7900390625,1236.262451171875,776.2556762695312,285.8106994628906,1579.976318359375,1708.6087646484375,1345.1414794921875,671.1671752929688,1678.405029296875,658.410888671875,54.11200714111328,864.8325805664062,724.5595703125,4637.3125,152.8319549560547,3068.322509765625,247.34605407714844,871.0314331054688,243.8715362548828,57.12423324584961,289.31793212890625,1929.4248046875,414.5494079589844,823.2992553710938,5138.994140625,789.7999877929688,1302.520751953125,2159.873046875,961.7059936523438,6934.0126953125,1639.740234375,3606.915771484375,438.2643737792969,288.0351257324219,323.1485900878906,312.4037170410156,439.8044738769531,581.753662109375,614.1265258789062,2174.77294921875,1396.894287109375,484.2833251953125,1392.4852294921875,6192.36376953125,1115.82470703125,614.580810546875,1052.208740234375,1938.4874267578125,252.818115234375,150.3823699951172,4478.00927734375,779.3878173828125,164.01759338378906,876.0951538085938,4024.53173828125
