2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ISYS.L,ITV.L,LAND.L,LAND.L,ITV.L,ISAT.L,JMAT.L,KGF.L,JMAT.L,KGF.L,JMAT.L,ITV.L,III.L,III.L,ICP.L,HWDN.L
ITRK.L,JMAT.L,LGEN.L,LGEN.L,JMAT.L,ITRK.L,KGF.L,LAND.L,KGF.L,LAND.L,KGF.L,JD.L,IMT.L,IMI.L,IHG.L,IAG.L
JMAT.L,KGF.L,LII.L,LLOY.L,KGF.L,ITV.L,LAND.L,LGEN.L,LAND.L,LGEN.L,LAND.L,KGF.L,INF.L,IMT.L,III.L,ICP.L
KGF.L,LAND.L,LLOY.L,LSE.L,LAND.L,JMAT.L,LGEN.L,LLOY.L,LGEN.L,LLOY.L,LGEN.L,LAND.L,ITRK.L,INF.L,IMI.L,IHG.L
LAND.L,LGEN.L,MGGT.L,MGGT.L,LGEN.L,KGF.L,LLOY.L,LSE.L,LLOY.L,LSE.L,LLOY.L,LGEN.L,JD.L,ITRK.L,IMT.L,III.L
LGEN.L,LII.L,MKS.L,MKS.L,LLOY.L,LAND.L,LSE.L,MCRO.L,LSE.L,MGGT.L,LSE.L,LLOY.L,KGF.L,JD.L,INF.L,IMI.L
LII.L,LLOY.L,MRO.L,MNDI.L,LSE.L,LGEN.L,MCRO.L,MDC.L,MCRO.L,MNDI.L,MNDI.L,LSE.L,LAND.L,KGF.L,ITRK.L,IMT.L
LLOY.L,MGGT.L,MRW.L,MRO.L,MGGT.L,LLOY.L,MDC.L,MKS.L,MKS.L,MRO.L,MRO.L,MGGT.L,LGEN.L,LAND.L,JD.L,INF.L
LMI.L,MKS.L,NG.L,MRW.L,MKS.L,LSE.L,MERL.L,MNDI.L,MNDI.L,MRW.L,MRW.L,MNDI.L,LLOY.L,LGEN.L,KGF.L,ITRK.L
MKS.L,MRW.L,NXT.L,NG.L,MNDI.L,MERL.L,MKS.L,MRW.L,MRO.L,NG.L,NG.L,MRO.L,LSE.L,LLOY.L,LAND.L,JD.L
MRW.L,NG.L,OML.L,NXT.L,MRW.L,MKS.L,MNDI.L,NG.L,MRW.L,NMC.L,NXT.L,NG.L,MNDI.L,LSE.L,LGEN.L,KGF.L
NG.L,NXT.L,PFC.L,OML.L,NG.L,MNDI.L,MRW.L,NMC.L,NG.L,NXT.L,OCDO.L,NXT.L,MRO.L,MKS.L,LLOY.L,LAND.L
NXT.L,OML.L,POLY.L,PFC.L,NXT.L,NG.L,NG.L,NXT.L,NMC.L,OCDO.L,PHNX.L,OCDO.L,NG.L,MNDI.L,LMP.L,LGEN.L
OML.L,PFC.L,PRU.L,PRU.L,OML.L,NXT.L,NXT.L,OML.L,NXT.L,PHNX.L,PNN.L,PHNX.L,NXT.L,NG.L,LSE.L,LLOY.L
PFC.L,POLY.L,PSON.L,PSN.L,PRU.L,OML.L,OML.L,PPB.L,OCDO.L,POLY.L,POLY.L,POLY.L,OCDO.L,NXT.L,MKS.L,LMP.L
PRU.L,PRU.L,RKT.L,PSON.L,PSN.L,PFG.L,PFG.L,PRU.L,PPB.L,PPB.L,PPB.L,PPB.L,PHNX.L,OCDO.L,MNDI.L,LSE.L
PSON.L,PSON.L,RBS.L,RKT.L,PSON.L,PRU.L,PPB.L,PSN.L,PRU.L,PRU.L,PRU.L,PRU.L,PPB.L,PHNX.L,NG.L,MKS.L
RKT.L,RKT.L,RDSA.L,RBS.L,RKT.L,PSN.L,PRU.L,PSON.L,PSN.L,PSN.L,PSH.L,PSH.L,PRU.L,PPB.L,NXT.L,MNDI.L
RBS.L,RBS.L,RDSB.L,RDSA.L,RBS.L,PSON.L,PSN.L,RKT.L,PSON.L,PSON.L,PSN.L,PSN.L,PSH.L,PRU.L,PHNX.L,MTLN.L
RDSA.L,RDSA.L,REL.L,RDSB.L,RDSA.L,RKT.L,PSON.L,RBS.L,RKT.L,RKT.L,PSON.L,PSON.L,PSN.L,PSH.L,PPB.L,NG.L
RDSB.L,RDSB.L,REX.L,REL.L,RDSB.L,RBS.L,RKT.L,RDSA.L,RBS.L,RBS.L,RKT.L,RKT.L,PSON.L,PSON.L,PRU.L,NXT.L
REL.L,REL.L,RIO.L,REX.L,REL.L,RDSA.L,RBS.L,RDSB.L,RDSA.L,RDSA.L,RBS.L,RBS.L,RKT.L,RKT.L,PSH.L,PCT.L
REX.L,REX.L,RR.L,RIO.L,RIO.L,RDSB.L,RDSA.L,REL.L,RDSB.L,RDSB.L,RDSA.L,RDSA.L,RBS.L,RBS.L,PSN.L,PHNX.L
RIO.L,RIO.L,RRS.L,RMG.L,RMG.L,REL.L,RDSB.L,RIO.L,REL.L,REL.L,RDSB.L,RDSB.L,REL.L,REL.L,PSON.L,PPB.L
RR.L,RR.L,RSA.L,RR.L,RR.L,RIO.L,REL.L,RR.L,RIO.L,RIO.L,REL.L,REL.L,RIO.L,RIO.L,RKT.L,PRU.L
RRS.L,RRS.L,RSL.L,RRS.L,RRS.L,RMG.L,RIO.L,RRS.L,RMV.L,RMV.L,RIO.L,RIO.L,RMV.L,RMV.L,RBS.L,PSH.L
RSA.L,RSA.L,SAB.L,RSA.L,RSA.L,RR.L,RMG.L,RSA.L,RR.L,RR.L,RMV.L,RMG.L,RR.L,RR.L,REL.L,PSN.L
RSL.L,RSL.L,SBRY.L,RSL.L,RSL.L,RRS.L,RR.L,RSL.L,RSA.L,RSA.L,RR.L,RMV.L,RSL.L,RSL.L,RIO.L,PSON.L
SAB.L,SAB.L,SDR.L,SAB.L,SAB.L,RSA.L,RRS.L,RTO.L,RSL.L,RSL.L,RSA.L,RR.L,RTO.L,RTO.L,RMV.L,RKT.L
SBRY.L,SBRY.L,SGE.L,SBRY.L,SBRY.L,RSL.L,RSA.L,SAB.L,RTO.L,RTO.L,RSL.L,RSL.L,SAB.L,SAB.L,RR.L,RBS.L
SDR.L,SDR.L,SHP.L,SDR.L,SDR.L,SAB.L,RSL.L,SBRY.L,SAB.L,SAB.L,RTO.L,RTO.L,SBRY.L,SBRY.L,RSL.L,REL.L
SGE.L,SGE.L,SL.L,SGE.L,SGE.L,SBRY.L,SAB.L,SDR.L,SBRY.L,SBRY.L,SAB.L,SAB.L,SDR.L,SDR.L,RTO.L,RIO.L
SHP.L,SHP.L,SMIN.L,SHP.L,SHP.L,SDR.L,SBRY.L,SGE.L,SDR.L,SDR.L,SBRY.L,SBRY.L,SGE.L,SGE.L,SAB.L,RMV.L
SL.L,SL.L,SN.L,SL.L,SL.L,SGE.L,SDR.L,SGRO.L,SGE.L,SGE.L,SDR.L,SDR.L,SGRO.L,SGRO.L,SBRY.L,RR.L
